id_produto,nome_medicamento,categoria_regulatoria,numero_registro_produto,data_vencimento_registro,numero_processo,classe_terapeutica,cod_empresa,empresa_detentora_registro,principio_ativo
13,ACALMILFITO,FITOTERÁPICO,118190216,2031-01-03,25351963576202082,ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO,92265552000140,MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,CRATAEGUS RHIPIDOPHYLLA GAND. +  PASSIFLORA INCARNATA L. +  VALERIANA OFFICINALIS L.
16,ACEBROFILINA,GENÉRICO,154230123,2028-01-05,25351120208200770,BRONCODILATADORES,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,ACEBROFILINA
17,ACEBROFILINA,,178170089,2015-01-08,25351652091200961,BRONCODILATADORES,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,ACEBROFILINA
18,ACEBROFILINA,GENÉRICO,155840398,2025-01-08,25351525180201119,BRONCODILATADORES,05161069000110,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,ACEBROFILINA
19,ACEBROFILINA,GENÉRICO,105730609,2029-01-06,25351849309201889,BRONCODILATADORES,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,ACEBROFILINA
20,ACECLOFENACO,GENÉRICO,123520100,2027-01-08,253510081970284,ANTINFLAMATORIOS,73663650000190,RANBAXY FARMACÊUTICA LTDA,ACECLOFENACO
21,ACECLOFENACO,GENÉRICO,105830541,2027-01-03,25351429196200665,ANTINFLAMATORIOS,45992062000165,GERMED FARMACEUTICA LTDA,ACECLOFENACO
22,ACECLOFENACO,GENÉRICO,102351053,2026-01-12,25351730441200914,ANTINFLAMATORIOS,57507378000365,EMS S/A,ACECLOFENACO
24,ACECLOFENACO,GENÉRICO,167730357,2026-01-12,25351742066200933,ANTINFLAMATORIOS,05044984000126,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,ACECLOFENACO
25,ACECLOFENACO,GENÉRICO,126750156,2027-01-05,25351548450201179,ANTINFLAMATORIOS,72593791000111,NOVA QUIMICA FARMACÊUTICA S/A,ACECLOFENACO
26,ACECLOFENACO,GENÉRICO,103920172,2028-01-11,25351047703201011,ANTINFLAMATORIOS,30222814000131,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,ACECLOFENACO
28,ACEFLOR,SIMILAR,126750290,2027-01-07,25351307380201627,ANTINFLAMATORIOS,72593791000111,NOVA QUIMICA FARMACÊUTICA S/A,ACECLOFENACO
29,ACERATUM,SIMILAR,104400005,2025-01-06,2599200340370,MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA,33173097000274,CELLERA FARMACÊUTICA S.A.,PERÓXIDO DE URÉIA
30,ACERTALIX,NOVO,112780077,2029-01-09,25351666271201475,ANTI-HIPERTENSIVOS,42374207000176,LABORATÓRIOS SERVIER DO BRASIL LTDA,INDAPAMIDA +  PERINDOPRIL ARGININA
31,ACERTANLO,NOVO,112780075,2027-01-01,25351118802201460,ANTI-HIPERTENSIVOS,42374207000176,LABORATÓRIOS SERVIER DO BRASIL LTDA,BESILATO DE ANLODIPINO +  PERINDOPRIL ARGININA
32,ACERTIL,NOVO,112780074,2029-01-01,25351047692200967,ANTI-HIPERTENSIVOS,42374207000176,LABORATÓRIOS SERVIER DO BRASIL LTDA,PERINDOPRIL ARGININA
34,ACETATO DE ABIRATERONA,GENÉRICO,100431245,2028-01-06,25351368629201788,ANTINEOPLASICO,61190096000192,EUROFARMA LABORATÓRIOS S.A.,ACETATO DE ABIRATERONA
36,ACETATO DE CIPROTERONA+ETINILESTRADIOL,GENÉRICO,155840400,2028-01-05,25351703022201132,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,05161069000110,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,ACETATO DE CIPROTERONA +  ETINILESTRADIOL
37,ACETATO DE CIPROTERONA+ETINILESTRADIOL,GENÉRICO,177940029,2026-01-05,25351056403201375,ANDROGENOS SIMPLES,09545589000188,MABRA FARMACEUTICA LTDA,ACETATO DE CIPROTERONA +  ETINILESTRADIOL
39,ACETATO DE CLORMADINONA + ETINILESTRADIOL,GENÉRICO,167730674,2032-01-01,25351578918201414,ANTICONCEPCIONAIS,05044984000126,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,ACETATO DE CLORMADINONA +  ETINILESTRADIOL
40,ACETATO DE CLORMADINONA + ETINILESTRADIOL,GENÉRICO,105831005,2032-01-02,25351578919201469,ANTICONCEPCIONAIS,45992062000165,GERMED FARMACEUTICA LTDA,ACETATO DE CLORMADINONA +  ETINILESTRADIOL
41,ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA,GENÉRICO,183260226,2027-01-08,25351096058201558,CERATOLITICOS E CERATOPLASTICOS,10588595001092,SANOFI MEDLEY FARMACÊUTICA LTDA.,ACETATO DE CLOSTEBOL +  SULFATO DE NEOMICINA
43,ACETATO DE DEXAMETASONA,GENÉRICO,104971334,2026-01-05,25351072733200691,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,ACETATO DE DEXAMETASONA
45,ACETATO DE DEXAMETASONA,GENÉRICO,105830544,2027-01-06,25351482857200681,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,45992062000165,GERMED FARMACEUTICA LTDA,ACETATO DE DEXAMETASONA
46,ACETATO DE HIDROCORTISONA,GENÉRICO,104971333,2026-01-05,25351070308200667,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,ACETATO DE HIDROCORTISONA
47,ACETATO DE PREDNISOLONA,GENÉRICO,154230190,2027-01-05,25351735051200998,GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,ACETATO DE PREDNISOLONA
48,ACETATO DE SÓDIO,ESPECÍFICO,164000004,2025-01-05,25351722910200853,ELETROLITOS SIMPLES,05155425000193,CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA,ACETATO DE SÓDIO TRI-HIDRATADO 
49,ACETAZONA,SIMILAR,109630046,2026-01-08,250000387869882,GLICOCORTICOIDES SISTEMICOS,06597801000162,THEODORO F SOBRAL & CIA LTDA,ACETATO DE DEXAMETASONA +  DEXAMETASONA
50,ACETICIL,SIMILAR,107150069,2029-01-05,250000040468843,ANALGESICOS,44010437000181,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,ÁCIDO ACETILSALICÍLICO
51,ACETILCISTEINA,GENÉRICO,100430772,2027-01-01,253510323530183,EXPECTORANTES BALSAMICOS E MUCOLITICO,61190096000192,EUROFARMA LABORATÓRIOS S.A.,ACETILCISTEÍNA
53,ACETILCISTEINA,GENÉRICO,105730648,2027-01-01,25351856205201821,EXPECTORANTES BALSAMICOS E MUCOLITICO,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,ACETILCISTEÍNA
55,ACETILCISTEÍNA,GENÉRICO,135690259,2015-01-03,25351263528200471,EXPECTORANTES BALSAMICOS E MUCOLITICO,00923140000131,EMS SIGMA PHARMA LTDA,ACETILCISTEÍNA
56,ACETILCISTEÍNA,GENÉRICO,125680127,2025-01-06,25351043353200568,EXPECTORANTES BALSAMICOS E MUCOLITICO,73856593000166,PRATI DONADUZZI & CIA LTDA,ACETILCISTEÍNA
57,ACETILCISTEÍNA,GENÉRICO,154230108,2027-01-09,25351100546200795,EXPECTORANTES BALSAMICOS E MUCOLITICO,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,ACETILCISTEÍNA
58,ACETONIDA DE TRIANCINOLONA,GENÉRICO,154230131,2028-01-09,25351051802200894,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,ACETONIDA DE TRIANCINOLONA
59,ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA,GENÉRICO,102350651,2029-01-01,25351050818200375,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,57507378000365,EMS S/A,GRAMICIDINA +  NISTATINA +  SULFATO DE NEOMICINA +  TRIANCINOLONA ACETONIDA
60,ACEVITON,ESPECÍFICO,143810165,2029-01-09,25351457119201356,VITAMINAS,02814497000107,CIMED INDUSTRIA S.A,ÁCIDO ASCÓRBICO
61,ACEZO,SIMILAR,102980564,2031-01-08,25351338698201901,SUPRESSORES DA REABSORCAO OSSEA,44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,ÁCIDO ZOLEDRÔNICO MONOIDRATADO
62,ACFOL,ESPECÍFICO,107150066,2028-01-10,2500000404788,ANTIANEMICOS,44010437000181,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,ÁCIDO FÓLICO
64,ACICLOMAX,SIMILAR,103900124,2003-01-09,250000363649718,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),33349473000158,FARMOQUÍMICA S/A,CLORIDRATO DE VALACICLOVIR
65,ACICLOMED,SIMILAR,143810023,2029-01-03,250000296259771,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),02814497000107,CIMED INDUSTRIA S.A,ACICLOVIR
67,ACICLOR,SIMILAR,106890205,2031-01-05,25351851846201899,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),92695691000103,KLEY HERTZ FARMACEUTICA S.A,ACICLOVIR
68,ACICLOVIR,SIMILAR,101160144,2001-01-08,250000134689665,ANTIVIROTICOS,33258450000138,KNOLL PRODUTOS QUIMICOS E FARMACEUTICOS LTDA,
69,ACICLOVIR,GENÉRICO,102980250,2025-01-11,253510150080068,ANTIVIROTICOS,44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,ACICLOVIR
70,ACICLOVIR,GENÉRICO,123520057,2026-01-01,253510276040081,ANTIVIROTICOS,73663650000190,RANBAXY FARMACÊUTICA LTDA,ACICLOVIR
72,ACICLOVIR,GENÉRICO,100470329,2027-01-07,253510190060165,ANTIVIROTICOS,61286647000116,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,ACICLOVIR
73,ACICLOVIR,GENÉRICO,125680111,2029-01-07,25351001249200415,ANTIVIROTICOS,73856593000166,PRATI DONADUZZI & CIA LTDA,ACICLOVIR
74,ACICLOVIR,GENÉRICO,118190065,2026-01-07,25351026616200655,ANTIVIROTICOS,92265552000140,MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,ACICLOVIR
77,ACICLOVIR,GENÉRICO,183260160,2026-01-12,25351649669201426,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),10588595001092,SANOFI MEDLEY FARMACÊUTICA LTDA.,ACICLOVIR
78,ACICLOVIR,SIMILAR,104971416,2028-01-03,25351655883201797,ANTIVIROTICOS,60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,ACICLOVIR +  ACICLOVIR SÓDICO
79,ACICLOVIR,GENÉRICO,105730556,2025-01-06,25351689341201807,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,ACICLOVIR
82,ACIDO MEFENAMICO,GENÉRICO,135170062,2030-01-04,25351330137202170,ANTINFLAMATORIOS ANTIREUMATICOS,48344725000719,ALTHAIA S.A INDÚSTRIA FARMACÊUTICA,ÁCIDO MEFENÂMICO
83,ACIDO TRANEXAMICO,GENÉRICO,167730151,2025-01-09,25351125006200958,ANTIFIBRINOLITICOS,05044984000126,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,ÁCIDO TRANEXÂMICO
87,ACIDO ZOLEDRONICO,GENÉRICO,155620038,2025-01-07,25351469106201283,SUPRESSORES DA REABSORCAO OSSEA,05439635000103,ANTIBIÓTICOS DO BRASIL LTDA,ÁCIDO ZOLEDRÔNICO MONOIDRATADO
88,ACIVIRAX,SIMILAR,115600082,2025-01-08,250000092449947,ANTIVIROTICOS,17562075000169,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,ACICLOVIR
91,ACLASTA,NOVO,100681026,2025-01-08,25351264883200467,SUPRESSORES DA REABSORCAO OSSEA,56994502000130,NOVARTIS BIOCIENCIAS S.A,ÁCIDO ZOLEDRÔNICO MONOIDRATADO
92,ACNASE,SIMILAR,109740239,2027-01-11,25351314228201761,PRODUTOS ANTI-ACNE,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA,ENXOFRE +  PERÓXIDO DE BENZOÍLA
94,ACNOVA,SIMILAR,105830844,2026-01-12,25351546841201502,PRODUTOS ANTI-ACNE,45992062000165,GERMED FARMACEUTICA LTDA,ISOTRETINOÍNA
95,ACOG,SIMILAR,105250085,2030-01-05,25351230018201731,,33078528000132,TORRENT DO BRASIL LTDA,RIVAROXABANA
96,ACTIFEDRIN,NOVO,103900155,2028-01-02,25351016602200461,ANTI-HISTAMINICOS SISTEMICOS,33349473000158,FARMOQUÍMICA S/A,CLORIDRATO DE PSEUDOEFEDRINA +  CLORIDRATO DE TRIPROLIDINA
97,ACTILYSE,NOVO,103670049,2028-01-03,2500100300787,ANTICOAGULANTES FIBRINOLITICOS E PROTEOLITICOS N/DIGE,60831658000177,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,ALTEPLASE
98,ACTIVE PLUS,FITOTERÁPICO,111990031,2030-01-03,25351411851201943,,33223157000135,MAKROFARMA QUIMICA FARMACEUTICA LTDA,SENNA ALEXANDRINA MILL.
100,ACU FRESH,ESPECÍFICO,154230230,2026-01-07,25351014464201114,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,CARMELOSE SÓDICA
101,ACU FRESH G,ESPECÍFICO,154230322,2031-01-10,25351548553202041,EMOLIENTES E PROTETORES OFTALMICOS,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,CARMELOSE SÓDICA +  GLICEROL
103,AD FURP,ESPECÍFICO,110390022,2028-01-02,2500100927182,EMOLIENTES E PROTETORES DA PELE E MUCOSAS,43640754000119,FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP,COLECALCIFEROL +  PALMITATO DE RETINOL +  ÓXIDO DE ZINCO
104,AD-MUC,FITOTERÁPICO,109740172,2028-01-01,25351217831200230,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA,MATRICARIA RECUTITA L.
105,AD-TIL,ESPECÍFICO,178170914,2026-01-08,25351109985202111,POLIVITAMINICOS SEM MINERAIS,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,ACETATO DE RETINOL +  COLECALCIFEROL
107,ADACEL,BIOLÓGICO,183260400,2028-01-03,25351412010201953,VACINAS,10588595001092,SANOFI MEDLEY FARMACÊUTICA LTDA.,AGLUTINÓGENOS FIMBRIAIS DE BORDETELLA PERTUSSIS DOS SOROTIPOS 2 E 3 +  HEMAGLUTININA FILAMENTOSA +  PERTACTINA +  TOXÓIDE TETÂNICO +  TOXÓIDE DIFTÉRICO +  TOXÓIDE PERTUSSIS
109,ADACNE CLIN,NOVO,110130249,2027-01-02,25351351901200521,PRODUTOS ANTI-ACNE,44363661000157,GLENMARK FARMACÊUTICA LTDA,ADAPALENO +  FOSFATO DE CLINDAMICINA
110,ADALAT,NOVO,170560052,2026-01-04,25351211427200767,ANTIANGINOSOS E VASODILATADORES,18459628000115,BAYER S.A.,NIFEDIPINO
111,ADAPALENO,GENÉRICO,183260039,2027-01-02,25351688711201491,PRODUTOS ANTI-ACNE,10588595001092,SANOFI MEDLEY FARMACÊUTICA LTDA.,ADAPALENO
112,ADAPTIS GEL,ESPECÍFICO,167730625,2029-01-07,25351595392201601,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,05044984000126,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,CARBÔMER 940
113,ADCETRIS,BIOLÓGICO,106390269,2029-01-09,25351058806201395,ANTINEOPLASICO,60397775000174,TAKEDA PHARMA LTDA.,BRENTUXIMABE VEDOTINA
114,ADDAVEN,ESPECÍFICO,100410165,2030-01-07,25351325190201853,NUTRIENTES PARENTERAIS,49324221000104,FRESENIUS KABI BRASIL LTDA,CLORETO CRÔMICO HEXAIDRATADO +  CLORETO CÚPRICO +  CLORETO DE ZINCO +  CLORETO FÉRRICO +  FLUORETO DE SÓDIO +  IODETO DE POTÁSSIO +  SELENITO DE SÓDIO +  DICLORETO DE MANGANÊS TETRAIDRATADO +  MOLIBDATO DE SÓDIO DIIDRATADO
116,ADEFORTE,ESPECÍFICO,104440113,2027-01-04,25351447831200696,POLIVITAMINICOS SEM MINERAIS,33145194000172,LABORATÓRIO GROSS S. A.,ACETATO DE RACEALFATOCOFEROL +  COLECALCIFEROL +  PALMITATO DE RETINOL
117,ADENOCARD,SIMILAR,100330038,2025-01-06,2500102698384,OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO,61230314000175,LIBBS FARMACÊUTICA LTDA,ADENOSINA
118,ADENON,DINAMIZADO,100610007,2026-01-04,2599202296475,MEDICAMENTOS DINAMIZADOS COMPOSTOS,56992217000180,WELEDA DO BRASIL LABORATÓRIO E FARMÁCIA LTDA,BARYTA CARBONICA +  BERBERIS VULGARIS L. +  CALCAREA CARBONICA +  MERCURIUS SULPHURATUS RUBER
119,ADENOSINA,GENÉRICO,113430182,2026-01-01,25351669437200943,OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO,19570720000110,HIPOLABOR FARMACEUTICA LTDA,ADENOSINA
120,ADILOZ,SIMILAR,102351223,2027-01-07,25351864707201647,ANTIBIOTICOS SISTEMICOS SIMPLES,57507378000365,EMS S/A,LINEZOLIDA
121,ADINOS,NOVO,105730378,2029-01-05,25351825989200846,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,DESONIDA
123,ADIPEPT,SIMILAR,105730462,2028-01-12,25351278967201217,ANTIACIDOS E ANTIULCEROSOS,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,PANTOPRAZOL
125,ADMELOG,BIOLÓGICO,183260412,2028-01-09,25351627305201922,ANTIDIABETICOS,10588595001092,SANOFI MEDLEY FARMACÊUTICA LTDA.,INSULINA LISPRO
126,ADOLESS,SIMILAR,103900140,2028-01-05,253510382620142,ANTICONCEPCIONAIS,33349473000158,FARMOQUÍMICA S/A,ETINILESTRADIOL +  GESTODENO
127,ADORLAN,NOVO,186100017,2030-01-07,25351559471201609,ANALGESICOS NARCOTICOS,10555143000113,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,CLORIDRATO DE TRAMADOL +  DICLOFENACO SÓDICO
128,ADREN,SIMILAR,113430001,2028-01-06,2500100141686,MEDICAMENTOS C/ ACAO NO MIOCARDIO,19570720000110,HIPOLABOR FARMACEUTICA LTDA,EPINEFRINA
129,ADVANTAN,NOVO,185690010,2028-01-04,25351711143201918,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,11424477000110,LEO PHARMA LTDA,ACEPONATO DE METILPREDNISOLONA
131,ADVIL,SIMILAR,101070347,2027-01-10,25351416131202016,ANALGESICOS NAO NARCOTICOS,33247743000110,GLAXOSMITHKLINE BRASIL LTDA,IBUPROFENO
132,ADYNOVATE,BIOLÓGICO,106390297,2030-01-01,25351779248202008,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,60397775000174,TAKEDA PHARMA LTDA.,ALFARURIOCTOCOGUE PEGOL
133,AERODINI,SIMILAR,103700096,2026-01-03,250000003279609,BRONCODILATADORES,17159229000176,LABORATÓRIO TEUTO BRASILEIRO S/A,SULFATO DE SALBUTAMOL
134,AERODIVENT,SIMILAR,103700631,2025-01-06,25351640423201411,BRONCODILATADORES,17159229000176,LABORATÓRIO TEUTO BRASILEIRO S/A,BROMETO DE IPRATRÓPIO
135,AEROFRIN,SIMILAR,117170009,2029-01-06,250000164699804,BRONCODILATADORES,25773037000183,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A,SULFATO DE SALBUTAMOL MICRONIZADO
137,AEROTRAT,SIMILAR,107150015,2027-01-07,2599200841672,BRONCODILATADORES,44010437000181,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,SULFATO DE SALBUTAMOL
138,AFINITOR,NOVO,100681065,2029-01-06,25351571868200804,ANTINEOPLASICO,56994502000130,NOVARTIS BIOCIENCIAS S.A,EVEROLIMO
140,AFOLIC INFANTIL,ESPECÍFICO,138410045,2025-01-12,25351484055201096,ANTIANEMICOS SIMPLES,02456955000183,NATULAB LABORATÓRIO S.A,ÁCIDO FÓLICO
141,AFOPIC,ESPECÍFICO,103700157,2026-01-12,250000284319669,ANTIANEMICOS,17159229000176,LABORATÓRIO TEUTO BRASILEIRO S/A,ÁCIDO FÓLICO
142,AFRAT,SIMILAR,102980425,2026-01-02,25351120874201518,SUPRESSORES DA REABSORCAO OSSEA,44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,IBANDRONATO DE SÓDIO
143,AFREZZA,BIOLÓGICO,133480002,2029-01-06,25351600824201781,ANTIDIABETICOS,04752991000110,BIOMM SA,INSULINA HUMANA
144,AFRIN,NOVO,170560112,2025-01-03,25351063419201701,DESCONGESTIONANTES NASAIS TOPICOS,18459628000115,BAYER S.A.,CLORIDRATO DE OXIMETAZOLINA
146,AFTINE,SIMILAR,115600080,2025-01-07,250000092349993,PRODUTOS PARA OROFARINGE,17562075000169,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,CLORIDRATO DE PROCAÍNA +  MENTOL +  SULFATO DE NEOMICINA +  TARTARATO DE BISMUTO E SÓDIO
147,AGAROL,,157210003,2015-01-12,25351266458200755,LAXANTES IRRITANTES OU ESTIMULANTES,59748988000114,JOHNSON & JOHNSON INDUSTRIAL LTDA.,AGAR-AGAR +  PICOSSULFATO DE SÓDIO +  ÓLEO MINERAL LEVE
148,AGIOLAX,FITOTERÁPICO,188300049,2025-01-06,25351067920201896,LAXANTES INCREMENTADORES DO BOLO INTESTINAL,11643096000122,MYLAN LABORATORIOS LTDA,PLANTAGO OVATA FORSSK. +  SENNA ALEXANDRINA MILL.
151,AGOXOM,SIMILAR,112780082,2030-01-04,25351505467201919,ANTIDEPRESSIVOS,42374207000176,LABORATÓRIOS SERVIER DO BRASIL LTDA,AGOMELATINA
153,AGRYLIN,NOVO,106390302,2027-01-12,25351778268202053,OUTROS AGENTES ANTINEOPLÁSICOS,60397775000174,TAKEDA PHARMA LTDA.,CLORIDRATO DE ANAGRELIDA
155,AGUA PARA INJETAVEIS,ESPECÍFICO,116370084,2029-01-07,25351325198201314,DILUENTES E VEICULOS DE MEDICAMENTOS,58430828000160,BLAU FARMACÊUTICA S.A.,ÁGUA PARA INJETÁVEIS
156,AGUA PARA INJEÇAO,ESPECÍFICO,102980539,2025-01-05,25351606944202098,DILUENTES E VEICULOS DE MEDICAMENTOS,44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,ÁGUA PARA INJEÇÃO
157,AGUA PARA INJEÇÃO,ESPECÍFICO,117720024,2025-01-02,2.53513E+16,DILUENTES E VEICULOS DE MEDICAMENTOS,01784792000103,EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA,ÁGUA ESTÉRIL PARA INJEÇÃO +  ÁGUA PARA INJEÇÃO
159,AH-ZUL,SIMILAR,167730460,2026-01-10,25351375923201558,VASODILATADORES,05044984000126,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,CITRATO DE SILDENAFILA
160,AILUK,SIMILAR,110130293,2032-01-03,25351850164202164,ANTIASMATICOS,44363661000157,GLENMARK FARMACÊUTICA LTDA,DIPROPIONATO DE BECLOMETASONA
161,AIPRI,GENÉRICO,178170852,2028-01-01,25351658662201771,ANTIPSICOTICOS,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,ARIPIPRAZOL
162,AIRES,SIMILAR,100431371,2029-01-07,25351049681202198,EXPECTORANTES BALSAMICOS E MUCOLITICO,61190096000192,EUROFARMA LABORATÓRIOS S.A.,ACETILCISTEÍNA
164,AIXA,SIMILAR,183260006,2028-01-03,25351696698201417,ANTICONCEPCIONAIS,10588595001092,SANOFI MEDLEY FARMACÊUTICA LTDA.,ACETATO DE CLORMADINONA +  ETINILESTRADIOL
