id_loja,cod,varejista,nlj,tipo,cep,lat_long
49,19474767037123746,RETAILER 1,STORE 27224,STORE TYPE 24,32707,"28.66,-81.31"
50,19522615138632098,RETAILER 1,STORE 01583,STORE TYPE 24,67467,"39.14,-97.70"
51,19612622633353093,RETAILER 1,STORE 05790,STORE TYPE 29,06795,"41.62,-73.13"
52,19680503029830202,RETAILER 1,STORE 02537,STORE TYPE 24,16248,"41.03,-79.50"
53,19785933618086755,RETAILER 1,STORE 04527,STORE TYPE 18,68028,"41.11,-96.26"
54,19938008705237195,RETAILER 1,STORE 21747,STORE TYPE 24,16101,"40.98,-80.29"
55,20489993409037386,RETAILER 1,STORE 03770,STORE TYPE 18,12569,"41.73,-73.79"
56,20635089735703500,RETAILER 7,STORE 26621,STORE TYPE 20,80016,"39.60,-104.71"
57,21203386938816025,RETAILER 6,STORE 15933,STORE TYPE 23,84109,"40.71,-111.70"
58,22736675513751339,RETAILER 6,STORE 20418,STORE TYPE 23,77357,"30.16,-95.19"
59,22979798791095717,RETAILER 1,STORE 15459,STORE TYPE 24,25801,"37.82,-81.27"
60,23691912458708561,RETAILER 4,STORE 09332,STORE TYPE 14,75214,"32.83,-96.75"
61,23903042226427053,RETAILER 1,STORE 15094,STORE TYPE 24,44224,"41.18,-81.44"
62,24603195383297105,RETAILER 6,STORE 12286,STORE TYPE 03,33467,"26.60,-80.18"
63,24859382662519748,RETAILER 1,STORE 13032,STORE TYPE 24,54801,"45.88,-91.94"
64,25241209707381411,RETAILER 6,STORE 21516,STORE TYPE 23,59405,"47.34,-111.30"
65,25305693491201586,RETAILER 6,STORE 00122,STORE TYPE 16,60714,"42.03,-87.81"
66,25949607929895836,RETAILER 1,STORE 31825,STORE TYPE 24,12586,"41.56,-74.17"
67,26083815407124458,RETAILER 1,STORE 25790,STORE TYPE 24,41031,"38.42,-84.29"
68,26179323425989997,RETAILER 1,STORE 17076,STORE TYPE 24,65588,"36.98,-91.27"
69,26282339689442999,RETAILER 6,STORE 12225,STORE TYPE 23,85755,"32.47,-110.98"
70,26385019781576701,RETAILER 1,STORE 33460,STORE TYPE 24,85650,"31.50,-110.20"
71,26428518632293124,RETAILER 1,STORE 11551,STORE TYPE 24,30833,"33.19,-82.35"
72,27104950632212005,RETAILER 6,STORE 07144,STORE TYPE 03,98007,"47.61,-122.14"
73,27427087906187718,RETAILER 1,STORE 31806,STORE TYPE 24,75173,"33.06,-96.40"
74,27748868678178506,RETAILER 6,STORE 00288,STORE TYPE 03,29456,"32.99,-80.12"
75,27956176520109072,RETAILER 1,STORE 29018,STORE TYPE 24,76043,"32.21,-97.80"
76,29190662803297080,RETAILER 1,STORE 17107,STORE TYPE 24,42748,"37.57,-85.69"
77,29939974182674767,RETAILER 7,STORE 31411,STORE TYPE 20,76801,"31.75,-99.03"
78,29951212299220263,RETAILER 1,STORE 32587,STORE TYPE 18,73096,"35.51,-98.74"
79,30136912951821201,RETAILER 6,STORE 26379,STORE TYPE 23,53566,"42.61,-89.65"
80,30146982998415267,RETAILER 1,STORE 05879,STORE TYPE 24,36426,"31.14,-87.07"
81,30418046986816430,RETAILER 1,STORE 31768,STORE TYPE 24,45843,"40.77,-83.54"
82,30540976509628034,RETAILER 1,STORE 13460,STORE TYPE 24,64470,"40.16,-95.23"
83,30945173051165207,RETAILER 1,STORE 19472,STORE TYPE 24,76877,"31.16,-98.76"
84,31108487973147554,RETAILER 1,STORE 13669,STORE TYPE 24,78130,"29.69,-98.07"
85,31358224636976990,RETAILER 6,STORE 32473,STORE TYPE 23,27577,"35.49,-78.33"
86,31481933221946488,RETAILER 1,STORE 14789,STORE TYPE 18,36467,"31.28,-86.26"
87,31567477231693256,RETAILER 6,STORE 16228,STORE TYPE 23,03038,"42.89,-71.28"
88,31681398515898451,RETAILER 6,STORE 19278,STORE TYPE 23,08865,"40.71,-75.15"
89,32369694803782052,RETAILER 6,STORE 00912,STORE TYPE 23,58801,"48.22,-103.75"
90,32549519500550751,RETAILER 6,STORE 17340,STORE TYPE 23,43615,"41.65,-83.67"
91,32686361507437629,RETAILER 4,STORE 01033,STORE TYPE 14,04401,"44.85,-68.85"
92,33594098700281624,RETAILER 1,STORE 17266,STORE TYPE 24,16001,"40.91,-79.95"
93,33774317139899039,RETAILER 1,STORE 02352,STORE TYPE 24,46052,"40.04,-86.46"
94,34047209538951470,RETAILER 1,STORE 30550,STORE TYPE 15,29678,"34.63,-82.94"
95,34437342647338506,RETAILER 1,STORE 00169,STORE TYPE 18,37072,"36.35,-86.75"
96,34497380555690816,RETAILER 6,STORE 34141,STORE TYPE 23,36526,"30.61,-87.86"
97,34988177260290565,RETAILER 1,STORE 26922,STORE TYPE 18,72653,"36.34,-92.39"
98,35667465830574471,RETAILER 1,STORE 08122,STORE TYPE 24,14108,"43.26,-78.73"
99,35824655340250735,RETAILER 1,STORE 10883,STORE TYPE 24,29829,"33.57,-81.86"
100,36639050622744761,RETAILER 1,STORE 00937,STORE TYPE 24,72703,"36.12,-94.04"
101,36712455035917137,RETAILER 1,STORE 12471,STORE TYPE 24,38804,"34.28,-88.67"
102,36801835513090375,RETAILER 1,STORE 05359,STORE TYPE 24,38941,"33.48,-90.36"
103,37053368952650880,RETAILER 1,STORE 20318,STORE TYPE 24,34953,"27.25,-80.38"
104,37088179478535382,RETAILER 4,STORE 08654,STORE TYPE 14,90630,"33.82,-118.04"
105,37225849630441331,RETAILER 1,STORE 23600,STORE TYPE 24,21639,"38.96,-75.78"
106,38305849557191945,RETAILER 1,STORE 15961,STORE TYPE 18,46227,"39.67,-86.13"
107,38584019476307565,RETAILER 6,STORE 18337,STORE TYPE 23,38654,"34.93,-89.82"
108,38738492854015234,RETAILER 7,STORE 25263,STORE TYPE 20,89104,"36.15,-115.11"
109,38898357579979807,RETAILER 1,STORE 25650,STORE TYPE 24,73006,"34.91,-98.40"
110,39096728284242120,RETAILER 6,STORE 08679,STORE TYPE 03,87114,"35.20,-106.69"
111,39128918827177098,RETAILER 6,STORE 08486,STORE TYPE 23,29680,"34.69,-82.29"
112,39271125182210780,RETAILER 6,STORE 02768,STORE TYPE 23,14760,"42.07,-78.41"
113,39468643643922936,RETAILER 1,STORE 24308,STORE TYPE 24,62692,"39.58,-89.94"
114,39832410170010430,RETAILER 1,STORE 20396,STORE TYPE 24,35580,"33.67,-87.26"
115,40186431667190490,RETAILER 6,STORE 12934,STORE TYPE 23,77379,"30.04,-95.53"
116,40842800154480383,RETAILER 1,STORE 02975,STORE TYPE 18,87004,"35.37,-106.60"
117,40990375968753790,RETAILER 1,STORE 20358,STORE TYPE 24,65324,"38.13,-93.03"
118,41263797783492145,RETAILER 1,STORE 20275,STORE TYPE 24,38118,"35.03,-89.93"
119,41791732467824779,RETAILER 6,STORE 08842,STORE TYPE 23,35976,"34.35,-86.33"
120,42272128137441206,RETAILER 4,STORE 16949,STORE TYPE 14,29483,"33.06,-80.18"
121,42323550092568519,RETAILER 4,STORE 25798,STORE TYPE 14,44070,"41.42,-81.92"
122,43516890163599805,RETAILER 6,STORE 04521,STORE TYPE 23,71483,"31.89,-92.66"
123,43880225166669157,RETAILER 6,STORE 05781,STORE TYPE 03,85746,"32.09,-111.04"
124,44783203747954624,RETAILER 4,STORE 15604,STORE TYPE 14,60657,"41.94,-87.65"
125,45110777814101374,RETAILER 1,STORE 28503,STORE TYPE 15,44004,"41.86,-80.79"
126,45471118749380149,RETAILER 1,STORE 20469,STORE TYPE 24,36075,"32.38,-85.92"
127,46030354758327202,RETAILER 1,STORE 16408,STORE TYPE 24,49038,"42.20,-86.32"
128,46756480725659148,RETAILER 1,STORE 20168,STORE TYPE 18,73086,"34.47,-96.97"
129,46864722959882120,RETAILER 1,STORE 21013,STORE TYPE 24,40146,"37.85,-86.33"
130,47584184730326243,RETAILER 6,STORE 25291,STORE TYPE 23,48111,"42.18,-83.49"
131,47701590495674948,RETAILER 1,STORE 12562,STORE TYPE 24,64482,"40.46,-95.55"
132,47957882540416605,RETAILER 1,STORE 33398,STORE TYPE 18,43235,"40.07,-83.10"
133,48115470308811195,RETAILER 1,STORE 29859,STORE TYPE 24,37920,"35.91,-83.86"
134,48279412872976123,RETAILER 4,STORE 28980,STORE TYPE 14,27804,"35.99,-77.84"
135,48514078021912613,RETAILER 4,STORE 27967,STORE TYPE 14,68845,"40.72,-99.16"
136,48630006697419100,RETAILER 1,STORE 07671,STORE TYPE 24,74011,"35.98,-95.81"
137,49059142465043468,RETAILER 6,STORE 27548,STORE TYPE 23,85388,"33.60,-112.43"
138,49203157436214531,RETAILER 4,STORE 15661,STORE TYPE 14,85015,"33.51,-112.10"
139,49389504139011614,RETAILER 1,STORE 02436,STORE TYPE 24,37601,"36.34,-82.32"
140,49421348024414779,RETAILER 6,STORE 27697,STORE TYPE 23,93906,"36.72,-121.63"
141,49838408805837671,RETAILER 1,STORE 17789,STORE TYPE 24,28501,"35.24,-77.51"
142,50135073050574291,RETAILER 6,STORE 11122,STORE TYPE 23,62966,"37.78,-89.35"
143,50218295145956202,RETAILER 1,STORE 16652,STORE TYPE 24,76078,"33.09,-97.46"
144,50387171515085615,RETAILER 1,STORE 26831,STORE TYPE 18,07203,"40.65,-74.26"
145,50821207032211501,RETAILER 1,STORE 02765,STORE TYPE 24,49872,"46.02,-87.08"
146,51148780352954408,RETAILER 7,STORE 16791,STORE TYPE 20,79936,"31.78,-106.30"
147,51463239982067940,RETAILER 1,STORE 20896,STORE TYPE 18,40203,"38.25,-85.77"
148,52059827475445379,RETAILER 1,STORE 05746,STORE TYPE 24,30635,"34.11,-82.79"
149,52598784543050711,RETAILER 4,STORE 23134,STORE TYPE 14,75092,"33.65,-96.70"
150,52793908760344280,RETAILER 1,STORE 09586,STORE TYPE 24,38301,"35.59,-88.85"
151,52800869996882086,RETAILER 6,STORE 11669,STORE TYPE 23,55350,"44.90,-94.39"
152,52829469374283082,RETAILER 6,STORE 28129,STORE TYPE 23,43616,"41.66,-83.41"
153,53249210065282044,RETAILER 1,STORE 32471,STORE TYPE 18,37043,"36.49,-87.24"
154,53598369104241130,RETAILER 6,STORE 33783,STORE TYPE 23,64701,"38.62,-94.33"
155,53881171748107903,RETAILER 1,STORE 21332,STORE TYPE 18,54022,"44.85,-92.61"
156,54308417937427459,RETAILER 1,STORE 16575,STORE TYPE 24,30453,"32.01,-82.12"
157,54373353835071190,RETAILER 1,STORE 20088,STORE TYPE 24,37129,"35.93,-86.44"
158,56270957984672785,RETAILER 6,STORE 08652,STORE TYPE 23,54501,"45.66,-89.35"
159,56545863846549523,RETAILER 1,STORE 13204,STORE TYPE 24,79331,"32.70,-102.01"
160,56580183739426355,RETAILER 6,STORE 16370,STORE TYPE 23,53190,"42.81,-88.74"
161,57358517095036780,RETAILER 4,STORE 06072,STORE TYPE 14,80124,"39.53,-104.89"
162,58343856779315659,RETAILER 7,STORE 34464,STORE TYPE 20,07936,"40.82,-74.36"
163,58564070993213476,RETAILER 7,STORE 01192,STORE TYPE 20,30024,"34.06,-84.09"
164,58817706574116265,RETAILER 6,STORE 00634,STORE TYPE 23,46526,"41.56,-85.88"
165,59193464542431541,RETAILER 1,STORE 29231,STORE TYPE 24,45882,"40.68,-84.68"
166,59245736984009773,RETAILER 6,STORE 25694,STORE TYPE 23,35603,"34.54,-86.97"
167,59308476060179750,RETAILER 1,STORE 28870,STORE TYPE 24,27263,"35.91,-79.94"
168,59441761673287573,RETAILER 6,STORE 19901,STORE TYPE 23,49444,"43.18,-86.20"
169,59762959695563609,RETAILER 1,STORE 00419,STORE TYPE 15,43988,"40.40,-81.12"
170,59956762920582861,RETAILER 1,STORE 03275,STORE TYPE 24,23407,"37.85,-75.57"
171,60109622875079038,RETAILER 6,STORE 15686,STORE TYPE 23,20011,"38.95,-77.02"
172,61046020364315034,RETAILER 7,STORE 08858,STORE TYPE 20,19711,"39.71,-75.74"
173,61265523073722217,RETAILER 6,STORE 04286,STORE TYPE 23,60031,"42.37,-87.94"
174,61679973751314573,RETAILER 7,STORE 29057,STORE TYPE 20,03865,"42.85,-71.09"
175,61778160585445259,RETAILER 1,STORE 06236,STORE TYPE 18,25621,"37.63,-81.94"
176,61951987471400280,RETAILER 1,STORE 04586,STORE TYPE 18,75601,"32.51,-94.72"
177,62226347547476665,RETAILER 1,STORE 20483,STORE TYPE 24,27205,"35.64,-79.85"
178,62490602199329027,RETAILER 1,STORE 19413,STORE TYPE 24,29078,"34.18,-80.71"
179,62512324140331937,RETAILER 1,STORE 05732,STORE TYPE 24,70079,"30.00,-90.41"
180,62962172972374813,RETAILER 1,STORE 00235,STORE TYPE 18,19428,"40.08,-75.30"
181,63159681423957275,RETAILER 1,STORE 17186,STORE TYPE 24,72041,"34.72,-91.47"
182,63628833323864951,RETAILER 1,STORE 27896,STORE TYPE 18,76021,"32.85,-97.13"
183,64024230872520692,RETAILER 1,STORE 24204,STORE TYPE 18,64730,"38.26,-94.30"
184,64561754287640555,RETAILER 1,STORE 32412,STORE TYPE 18,30114,"34.25,-84.52"
185,64622432407618293,RETAILER 6,STORE 27604,STORE TYPE 23,27406,"36.00,-79.76"
186,65339671761924362,RETAILER 6,STORE 02421,STORE TYPE 23,54143,"45.08,-87.70"
187,65490676029852984,RETAILER 1,STORE 06522,STORE TYPE 24,32448,"30.67,-85.22"
188,65770737908124084,RETAILER 6,STORE 17903,STORE TYPE 23,67124,"37.63,-98.77"
189,65835582706328091,RETAILER 1,STORE 25994,STORE TYPE 15,47542,"38.30,-86.97"
190,66011874281647359,RETAILER 1,STORE 08138,STORE TYPE 24,15037,"40.26,-79.85"
191,66247055747154369,RETAILER 1,STORE 02811,STORE TYPE 24,44004,"41.86,-80.79"
192,67123535775532017,RETAILER 7,STORE 11516,STORE TYPE 20,30093,"33.91,-84.18"
193,67849536007636640,RETAILER 6,STORE 05301,STORE TYPE 23,75644,"32.79,-95.00"
194,68271446898891614,RETAILER 6,STORE 04803,STORE TYPE 23,81501,"39.07,-108.55"
195,68366071646671017,RETAILER 1,STORE 05707,STORE TYPE 24,03574,"44.26,-71.61"
196,69309063414368233,RETAILER 1,STORE 28609,STORE TYPE 24,29505,"34.13,-79.69"
197,70123496734646507,RETAILER 1,STORE 25474,STORE TYPE 24,31545,"31.66,-81.93"
198,70669287831264000,RETAILER 1,STORE 17330,STORE TYPE 24,73130,"35.46,-97.35"
199,71357155805297594,RETAILER 1,STORE 02366,STORE TYPE 24,35476,"33.23,-87.59"
200,71455247912746009,RETAILER 1,STORE 02775,STORE TYPE 18,28103,"35.00,-80.35"
201,71590248642012647,RETAILER 1,STORE 03229,STORE TYPE 24,65725,"37.43,-93.29"
202,71609864824740805,RETAILER 1,STORE 13151,STORE TYPE 18,40422,"37.64,-84.80"
203,71634504797723958,RETAILER 6,STORE 04376,STORE TYPE 23,31313,"31.84,-81.61"
204,71754163440412846,RETAILER 1,STORE 05274,STORE TYPE 24,30233,"33.29,-83.97"
205,72313997729672295,RETAILER 1,STORE 02303,STORE TYPE 24,73010,"35.11,-97.68"
206,72509808301161697,RETAILER 1,STORE 33597,STORE TYPE 24,52738,"41.27,-91.38"
207,73140306942120649,RETAILER 1,STORE 11963,STORE TYPE 24,72958,"34.90,-94.14"
208,73872740728257381,RETAILER 1,STORE 25528,STORE TYPE 24,50208,"41.71,-93.03"
209,74147425891043817,RETAILER 6,STORE 33756,STORE TYPE 23,44312,"41.01,-81.44"
210,74286556584558015,RETAILER 7,STORE 17479,STORE TYPE 20,18964,"40.30,-75.34"
211,74347584028096618,RETAILER 1,STORE 20388,STORE TYPE 24,38581,"35.74,-85.62"
212,74488057396678519,RETAILER 6,STORE 18004,STORE TYPE 23,78621,"30.34,-97.36"
213,74491560722106045,RETAILER 6,STORE 01310,STORE TYPE 16,07005,"40.93,-74.42"
214,74654487707620967,RETAILER 6,STORE 11296,STORE TYPE 23,32404,"30.20,-85.50"
215,74983012192430645,RETAILER 1,STORE 10277,STORE TYPE 24,32180,"29.24,-81.40"
216,75012744787620460,RETAILER 6,STORE 05619,STORE TYPE 23,75462,"33.62,-95.49"
217,75603674014774045,RETAILER 1,STORE 21828,STORE TYPE 18,48602,"43.42,-83.97"
218,76405124358375595,RETAILER 1,STORE 14492,STORE TYPE 24,24179,"37.29,-79.81"
219,77415722124763928,RETAILER 1,STORE 13063,STORE TYPE 24,72653,"36.34,-92.39"
220,77444702987099011,RETAILER 1,STORE 33259,STORE TYPE 18,28734,"35.19,-83.41"
221,77597452559300765,RETAILER 1,STORE 07131,STORE TYPE 24,28056,"35.22,-81.13"
222,78104175901982038,RETAILER 1,STORE 28646,STORE TYPE 24,35950,"34.25,-86.26"
223,79371096147060045,RETAILER 6,STORE 15108,STORE TYPE 23,53081,"43.71,-87.73"
224,79837268032293670,RETAILER 1,STORE 16817,STORE TYPE 24,30634,"34.20,-82.95"
225,79898950854499959,RETAILER 1,STORE 24993,STORE TYPE 24,70507,"30.28,-92.03"
226,80490648393832536,RETAILER 4,STORE 22126,STORE TYPE 14,32780,"28.53,-80.79"
227,80873936713712177,RETAILER 1,STORE 17261,STORE TYPE 24,46147,"39.97,-86.62"
228,81062269011263880,RETAILER 1,STORE 03129,STORE TYPE 18,28262,"35.32,-80.74"
229,81357494090616464,RETAILER 1,STORE 25493,STORE TYPE 24,49202,"42.27,-84.41"
230,81562103757232780,RETAILER 4,STORE 23510,STORE TYPE 14,35022,"33.32,-86.97"
231,82323217083795966,RETAILER 1,STORE 13618,STORE TYPE 24,37043,"36.49,-87.24"
232,82356532347169055,RETAILER 6,STORE 13689,STORE TYPE 23,36619,"30.60,-88.20"
233,82375179410333824,RETAILER 1,STORE 16487,STORE TYPE 15,39840,"31.78,-84.76"
234,82578935641953825,RETAILER 1,STORE 12880,STORE TYPE 18,42031,"36.69,-88.99"
235,83923538620919949,RETAILER 1,STORE 25417,STORE TYPE 24,56450,"46.23,-93.83"
236,84336240275110120,RETAILER 1,STORE 13120,STORE TYPE 18,62226,"38.54,-90.00"
237,84669275514471965,RETAILER 6,STORE 00880,STORE TYPE 23,67901,"37.10,-100.91"
238,84698295883610918,RETAILER 1,STORE 23442,STORE TYPE 24,75472,"32.88,-95.87"
239,85568465837721481,RETAILER 6,STORE 10613,STORE TYPE 23,93312,"35.39,-119.12"
240,85755803276143113,RETAILER 1,STORE 15201,STORE TYPE 24,74434,"35.81,-95.21"
241,86028514430717368,RETAILER 1,STORE 33092,STORE TYPE 24,23434,"36.70,-76.59"
242,86057949534701460,RETAILER 6,STORE 07047,STORE TYPE 23,83318,"42.44,-113.82"
243,86372477021153755,RETAILER 1,STORE 10558,STORE TYPE 24,73005,"35.05,-98.24"
244,86675577128539933,RETAILER 6,STORE 03830,STORE TYPE 23,46168,"39.69,-86.39"
245,87209980032655146,RETAILER 1,STORE 15374,STORE TYPE 18,75090,"33.60,-96.55"
246,87881869533917504,RETAILER 7,STORE 34212,STORE TYPE 20,07310,"40.73,-74.04"
247,88517933957211737,RETAILER 1,STORE 20644,STORE TYPE 24,44062,"41.45,-81.04"
248,88594625185932053,RETAILER 1,STORE 34414,STORE TYPE 24,15239,"40.48,-79.74"
249,88818398629749651,RETAILER 4,STORE 18499,STORE TYPE 14,37129,"35.93,-86.44"
250,88886930774759234,RETAILER 1,STORE 20229,STORE TYPE 18,60516,"41.76,-88.01"
251,88992922425649276,RETAILER 1,STORE 21287,STORE TYPE 24,15701,"40.63,-79.15"
252,89159324446556564,RETAILER 6,STORE 18288,STORE TYPE 16,01566,"42.10,-72.08"
253,89206078685988969,RETAILER 6,STORE 15739,STORE TYPE 16,04457,"45.41,-68.48"
254,89378456048066655,RETAILER 6,STORE 30074,STORE TYPE 23,88201,"33.64,-104.40"
255,90007869867007588,RETAILER 1,STORE 29365,STORE TYPE 18,39743,"33.34,-88.62"
256,90353467140736235,RETAILER 6,STORE 22881,STORE TYPE 23,82009,"41.37,-104.84"
257,90577696854218676,RETAILER 6,STORE 01909,STORE TYPE 23,68901,"40.59,-98.37"
258,90974370233885026,RETAILER 1,STORE 31853,STORE TYPE 24,04282,"44.27,-70.25"
259,90990538616956004,RETAILER 1,STORE 33331,STORE TYPE 24,49746,"45.06,-83.95"
260,91074030658255607,RETAILER 1,STORE 27800,STORE TYPE 24,23055,"37.77,-78.22"
261,91132743409061079,RETAILER 1,STORE 05540,STORE TYPE 24,39402,"31.33,-89.42"
262,91158567843160726,RETAILER 1,STORE 28600,STORE TYPE 15,38751,"33.45,-90.69"
263,91238726691427893,RETAILER 6,STORE 00502,STORE TYPE 23,55066,"44.51,-92.54"
264,91275359037737007,RETAILER 6,STORE 04867,STORE TYPE 23,03106,"43.08,-71.45"
265,91353783634857854,RETAILER 1,STORE 17421,STORE TYPE 24,28601,"35.77,-81.33"
266,92522783202727758,RETAILER 1,STORE 03629,STORE TYPE 24,28138,"35.51,-80.44"
267,93168701367667445,RETAILER 6,STORE 24131,STORE TYPE 23,42754,"37.47,-86.32"
268,93277657246142622,RETAILER 1,STORE 17511,STORE TYPE 24,87401,"36.74,-108.18"
269,93353300407027297,RETAILER 1,STORE 00078,STORE TYPE 24,28393,"34.98,-78.19"
270,94637060348078398,RETAILER 7,STORE 00384,STORE TYPE 20,97224,"45.41,-122.80"
271,94732760656889308,RETAILER 6,STORE 06621,STORE TYPE 23,61550,"40.61,-89.44"
272,95072294264974225,RETAILER 1,STORE 20537,STORE TYPE 24,92544,"33.65,-116.90"
273,95377583699853621,RETAILER 4,STORE 24227,STORE TYPE 14,46805,"41.10,-85.12"
274,95625117748915000,RETAILER 6,STORE 05152,STORE TYPE 23,77023,"29.72,-95.32"
275,95975556944139858,RETAILER 4,STORE 24209,STORE TYPE 14,76177,"32.98,-97.31"
276,96230828994331874,RETAILER 1,STORE 23801,STORE TYPE 24,61256,"41.55,-90.41"
277,96505611322179170,RETAILER 6,STORE 22425,STORE TYPE 23,65340,"39.09,-93.18"
278,96589515436437846,RETAILER 1,STORE 16426,STORE TYPE 24,49002,"42.20,-85.56"
279,96599965553609231,RETAILER 1,STORE 25920,STORE TYPE 24,32331,"30.44,-83.64"
280,97088487180946697,RETAILER 1,STORE 14792,STORE TYPE 24,42171,"37.04,-86.17"
281,97509400751488726,RETAILER 1,STORE 01545,STORE TYPE 24,73860,"36.54,-98.84"
282,98462273208021314,RETAILER 4,STORE 29657,STORE TYPE 14,30307,"33.77,-84.33"
283,98550980924323756,RETAILER 1,STORE 01359,STORE TYPE 24,54558,"45.93,-89.50"
284,98805781290250201,RETAILER 1,STORE 33682,STORE TYPE 18,38374,"35.51,-88.23"
285,98977634901323007,RETAILER 1,STORE 28351,STORE TYPE 24,75069,"33.18,-96.59"
286,99702526874715200,RETAILER 1,STORE 01593,STORE TYPE 24,60096,"42.48,-87.82"
287,100621398372587427,RETAILER 1,STORE 02300,STORE TYPE 24,77328,"30.39,-95.19"
288,100807862867147141,RETAILER 1,STORE 26795,STORE TYPE 24,74801,"35.32,-96.97"
289,100834225468437207,RETAILER 4,STORE 21249,STORE TYPE 14,52404,"41.92,-91.70"
290,101113348452118134,RETAILER 1,STORE 04999,STORE TYPE 24,35555,"33.66,-87.82"
