id_procedimento,nome_procedimento,categoria_procedimento,codigo_tuss,rol_ans,porte,especialidade
41,CONSULTA ELETIVA,CONSULTA,25863159,S,4,OFTALMOLOGIA
42,INTERNACAO EM UTI,INTERNACAO,36913358,S,2,NEUROLOGIA
43,CONSULTA PRE-OPERATORIA,CONSULTA,27797475,N,3,NEUROLOGIA
44,CESARIANA,CIRURGIA,42659965,S,2,GINECOLOGIA
45,HEMOGRAMA COMPLETO,EXAME,48868131,S,3,CLINICA MEDICA
46,AVALIACAO MULTIDISCIPLINAR,CONSULTA,41996735,S,1,DERMATOLOGIA
47,CONSULTA DE RETORNO,CONSULTA,14598388,S,2,NEUROLOGIA
48,AVALIACAO MULTIDISCIPLINAR,CONSULTA,26523232,S,ESPECIAL,CARDIOLOGIA
49,INTERNACAO PSIQUIATRICA,INTERNACAO,47931736,S,3,PEDIATRIA
50,SESSAO DE QUIMIOTERAPIA,TERAPIA,27825088,N,2,GINECOLOGIA
51,INTERNACAO PEDIATRICA,INTERNACAO,14868286,S,4,PSIQUIATRIA
52,CIRURGIA CARDIACA,CIRURGIA,14916443,S,ESPECIAL,GINECOLOGIA
53,ELETROCARDIOGRAMA,EXAME,14616506,S,3,GINECOLOGIA
54,COLONOSCOPIA,EXAME,46454740,S,ESPECIAL,DERMATOLOGIA
55,AVALIACAO MULTIDISCIPLINAR,CONSULTA,30090967,S,2,GINECOLOGIA
56,CONSULTA ELETIVA,CONSULTA,47126210,S,3,GINECOLOGIA
57,ARTROPLASTIA DE QUADRIL,CIRURGIA,33010306,S,3,DERMATOLOGIA
58,INTERNACAO PEDIATRICA,INTERNACAO,13409056,S,4,GINECOLOGIA
59,CONSULTA ELETIVA,CONSULTA,32384600,S,3,ORTOPEDIA
60,INTERNACAO PSIQUIATRICA,INTERNACAO,38701583,S,1,CARDIOLOGIA
61,MAMOGRAFIA,EXAME,12417807,S,ESPECIAL,DERMATOLOGIA
62,GLICEMIA DE JEJUM,EXAME,18552724,S,3,ONCOLOGIA
63,CONSULTA DE URGENCIA,CONSULTA,24097997,S,1,ONCOLOGIA
64,COLECISTECTOMIA,CIRURGIA,20371898,S,2,ORTOPEDIA
65,INTERNACAO CLINICA,INTERNACAO,22036690,S,4,PEDIATRIA
66,SESSAO DE QUIMIOTERAPIA,TERAPIA,17254174,N,1,OFTALMOLOGIA
67,TOMOGRAFIA COMPUTADORIZADA,EXAME,40890427,S,3,PEDIATRIA
68,HEMOGRAMA COMPLETO,EXAME,22960720,N,3,GINECOLOGIA
69,CONSULTA DE URGENCIA,CONSULTA,33565017,N,ESPECIAL,ONCOLOGIA
70,CONSULTA ELETIVA,CONSULTA,27529855,S,ESPECIAL,GINECOLOGIA
71,CONSULTA ELETIVA,CONSULTA,39163080,S,3,NEUROLOGIA
72,CIRURGIA DE CATARATA,CIRURGIA,17760857,N,ESPECIAL,PEDIATRIA
73,SESSAO DE FISIOTERAPIA,TERAPIA,39263324,S,ESPECIAL,DERMATOLOGIA
74,ELETROCARDIOGRAMA,EXAME,38943878,S,3,PSIQUIATRIA
75,SESSAO DE FISIOTERAPIA,TERAPIA,30154286,S,4,ONCOLOGIA
76,INTERNACAO PEDIATRICA,INTERNACAO,47205991,S,2,NEUROLOGIA
77,INTERNACAO EM UTI,INTERNACAO,48192007,S,4,DERMATOLOGIA
78,CONSULTA DE URGENCIA,CONSULTA,29254453,S,4,PSIQUIATRIA
79,CESARIANA,CIRURGIA,31625779,N,4,OFTALMOLOGIA
80,MAMOGRAFIA,EXAME,41754987,S,1,GINECOLOGIA
81,CESARIANA,CIRURGIA,32494103,S,2,GINECOLOGIA
82,TOMOGRAFIA COMPUTADORIZADA,EXAME,19888757,S,1,PEDIATRIA
83,INTERNACAO PSIQUIATRICA,INTERNACAO,14887419,N,4,PSIQUIATRIA
84,GLICEMIA DE JEJUM,EXAME,43177090,N,2,ORTOPEDIA
85,CONSULTA ELETIVA,CONSULTA,38531078,S,2,DERMATOLOGIA
86,INTERNACAO CLINICA,INTERNACAO,47406869,S,1,OFTALMOLOGIA
87,COLONOSCOPIA,EXAME,45643657,S,4,PSIQUIATRIA
88,COLECISTECTOMIA,CIRURGIA,46767064,N,2,OFTALMOLOGIA
89,INTERNACAO PEDIATRICA,INTERNACAO,26591977,S,ESPECIAL,OFTALMOLOGIA
90,ULTRASSONOGRAFIA,EXAME,39519350,S,3,PEDIATRIA
91,SESSAO DE HEMODIALISE,TERAPIA,31455345,S,2,ORTOPEDIA
92,GLICEMIA DE JEJUM,EXAME,20254587,S,1,NEUROLOGIA
93,INTERNACAO PEDIATRICA,INTERNACAO,46414017,N,4,CLINICA MEDICA
94,GLICEMIA DE JEJUM,EXAME,36137346,S,ESPECIAL,NEUROLOGIA
95,INTERNACAO CLINICA,INTERNACAO,33606133,S,4,NEUROLOGIA
96,CESARIANA,CIRURGIA,46650318,S,4,PEDIATRIA
97,SESSAO DE PSICOTERAPIA,TERAPIA,42590882,S,4,ONCOLOGIA
98,INTERNACAO EM UTI,INTERNACAO,41366021,S,ESPECIAL,DERMATOLOGIA
99,CONSULTA PRE-OPERATORIA,CONSULTA,49721251,S,1,NEUROLOGIA
100,COLONOSCOPIA,EXAME,22195628,S,3,NEUROLOGIA
101,SESSAO DE QUIMIOTERAPIA,TERAPIA,40514355,S,3,NEUROLOGIA
102,SESSAO DE PSICOTERAPIA,TERAPIA,26929655,S,4,CLINICA MEDICA
103,CIRURGIA CARDIACA,CIRURGIA,33485441,S,1,CLINICA MEDICA
104,CONSULTA DE RETORNO,CONSULTA,23378868,S,ESPECIAL,ORTOPEDIA
105,RESSONANCIA MAGNETICA,EXAME,41780144,S,ESPECIAL,PEDIATRIA
106,INTERNACAO PEDIATRICA,INTERNACAO,34756136,S,ESPECIAL,PSIQUIATRIA
107,CONSULTA DE RETORNO,CONSULTA,30873468,S,ESPECIAL,CLINICA MEDICA
108,SESSAO DE FONOAUDIOLOGIA,TERAPIA,35186423,N,2,CARDIOLOGIA
109,CESARIANA,CIRURGIA,26297346,S,3,PSIQUIATRIA
110,AVALIACAO MULTIDISCIPLINAR,CONSULTA,12756102,S,ESPECIAL,NEUROLOGIA
111,SESSAO DE FISIOTERAPIA,TERAPIA,43954453,S,1,NEUROLOGIA
112,INTERNACAO CLINICA,INTERNACAO,39093262,S,4,ORTOPEDIA
113,INTERNACAO EM UTI,INTERNACAO,45013831,S,ESPECIAL,DERMATOLOGIA
114,INTERNACAO OBSTETRICA,INTERNACAO,39230909,S,3,PEDIATRIA
115,CONSULTA DE URGENCIA,CONSULTA,40252810,S,4,PSIQUIATRIA
116,CESARIANA,CIRURGIA,35433541,S,1,OFTALMOLOGIA
117,SESSAO DE QUIMIOTERAPIA,TERAPIA,42718922,S,3,GINECOLOGIA
118,SESSAO DE HEMODIALISE,TERAPIA,28540070,S,ESPECIAL,PEDIATRIA
119,CONSULTA DE RETORNO,CONSULTA,37274929,N,ESPECIAL,PEDIATRIA
120,INTERNACAO OBSTETRICA,INTERNACAO,40076484,S,1,GINECOLOGIA
121,GLICEMIA DE JEJUM,EXAME,26327933,S,ESPECIAL,ONCOLOGIA
122,INTERNACAO PSIQUIATRICA,INTERNACAO,45629567,S,4,DERMATOLOGIA
123,SESSAO DE HEMODIALISE,TERAPIA,40450329,S,3,GINECOLOGIA
124,RAIO-X DE TORAX,EXAME,22924113,S,1,DERMATOLOGIA
125,TOMOGRAFIA COMPUTADORIZADA,EXAME,24521327,N,3,PSIQUIATRIA
126,CIRURGIA DE CATARATA,CIRURGIA,28991721,S,2,GINECOLOGIA
127,ELETROCARDIOGRAMA,EXAME,22042118,S,1,DERMATOLOGIA
128,ULTRASSONOGRAFIA,EXAME,13054506,S,ESPECIAL,GINECOLOGIA
129,COLONOSCOPIA,EXAME,16884540,S,ESPECIAL,GINECOLOGIA
130,INTERNACAO OBSTETRICA,INTERNACAO,39559360,S,2,CLINICA MEDICA
131,SESSAO DE PSICOTERAPIA,TERAPIA,17656258,S,4,OFTALMOLOGIA
132,AVALIACAO MULTIDISCIPLINAR,CONSULTA,13597644,S,2,PSIQUIATRIA
133,SESSAO DE FISIOTERAPIA,TERAPIA,26655813,S,ESPECIAL,NEUROLOGIA
134,CIRURGIA DE CATARATA,CIRURGIA,25145607,N,4,OFTALMOLOGIA
135,SESSAO DE FONOAUDIOLOGIA,TERAPIA,38778283,S,ESPECIAL,PSIQUIATRIA
136,AVALIACAO MULTIDISCIPLINAR,CONSULTA,16659452,S,2,GINECOLOGIA
137,CONSULTA DE RETORNO,CONSULTA,26097079,S,ESPECIAL,CARDIOLOGIA
138,HEMOGRAMA COMPLETO,EXAME,37415150,N,ESPECIAL,OFTALMOLOGIA
139,SESSAO DE FISIOTERAPIA,TERAPIA,25534107,S,3,OFTALMOLOGIA
140,CONSULTA DE RETORNO,CONSULTA,27753960,S,4,CARDIOLOGIA
141,ARTROPLASTIA DE QUADRIL,CIRURGIA,19998509,S,2,CARDIOLOGIA
142,CONSULTA DE RETORNO,CONSULTA,30643479,S,4,CARDIOLOGIA
143,INTERNACAO PEDIATRICA,INTERNACAO,37011889,S,ESPECIAL,DERMATOLOGIA
144,INTERNACAO OBSTETRICA,INTERNACAO,15398361,S,4,ONCOLOGIA
145,APENDICECTOMIA,CIRURGIA,11735763,S,2,PSIQUIATRIA
146,CIRURGIA CARDIACA,CIRURGIA,28086578,S,2,OFTALMOLOGIA
147,CESARIANA,CIRURGIA,39677512,S,2,PSIQUIATRIA
148,INTERNACAO OBSTETRICA,INTERNACAO,16123174,N,3,NEUROLOGIA
149,SESSAO DE HEMODIALISE,TERAPIA,17019579,S,3,NEUROLOGIA
150,INTERNACAO PEDIATRICA,INTERNACAO,36873895,S,4,CARDIOLOGIA
151,SESSAO DE HEMODIALISE,TERAPIA,31694536,S,4,DERMATOLOGIA
152,AVALIACAO MULTIDISCIPLINAR,CONSULTA,41002707,N,1,PEDIATRIA
153,APENDICECTOMIA,CIRURGIA,43453305,N,1,PEDIATRIA
154,SESSAO DE FONOAUDIOLOGIA,TERAPIA,18792148,S,4,OFTALMOLOGIA
155,CONSULTA ELETIVA,CONSULTA,26058980,S,3,DERMATOLOGIA
156,AVALIACAO MULTIDISCIPLINAR,CONSULTA,37379791,S,2,CARDIOLOGIA
157,INTERNACAO CLINICA,INTERNACAO,20332827,N,3,DERMATOLOGIA
158,SESSAO DE PSICOTERAPIA,TERAPIA,42379998,N,2,OFTALMOLOGIA
159,ARTROPLASTIA DE QUADRIL,CIRURGIA,35742021,S,ESPECIAL,DERMATOLOGIA
160,RAIO-X DE TORAX,EXAME,28538649,N,3,DERMATOLOGIA
161,SESSAO DE FISIOTERAPIA,TERAPIA,28981002,S,ESPECIAL,PSIQUIATRIA
162,INTERNACAO EM UTI,INTERNACAO,39967288,N,3,ONCOLOGIA
163,CIRURGIA DE CATARATA,CIRURGIA,35314138,N,3,PEDIATRIA
164,ECOCARDIOGRAMA,EXAME,35700738,S,4,CLINICA MEDICA
165,SESSAO DE PSICOTERAPIA,TERAPIA,35583989,N,2,OFTALMOLOGIA
166,CONSULTA DE RETORNO,CONSULTA,43708188,S,1,OFTALMOLOGIA
167,AVALIACAO MULTIDISCIPLINAR,CONSULTA,40663924,S,2,NEUROLOGIA
168,RAIO-X DE TORAX,EXAME,41506980,S,3,PSIQUIATRIA
169,INTERNACAO CLINICA,INTERNACAO,32049663,N,3,OFTALMOLOGIA
170,CIRURGIA CARDIACA,CIRURGIA,14591638,S,3,PEDIATRIA
171,CONSULTA PRE-OPERATORIA,CONSULTA,16606406,S,4,ORTOPEDIA
172,SESSAO DE FISIOTERAPIA,TERAPIA,13086401,S,1,GINECOLOGIA
173,SESSAO DE HEMODIALISE,TERAPIA,38902901,S,2,DERMATOLOGIA
174,INTERNACAO PSIQUIATRICA,INTERNACAO,22083413,S,2,CARDIOLOGIA
175,COLECISTECTOMIA,CIRURGIA,26161813,N,ESPECIAL,ORTOPEDIA
176,COLONOSCOPIA,EXAME,27044130,N,3,CLINICA MEDICA
177,INTERNACAO PEDIATRICA,INTERNACAO,46681580,S,1,OFTALMOLOGIA
178,SESSAO DE FONOAUDIOLOGIA,TERAPIA,30075901,N,3,OFTALMOLOGIA
179,SESSAO DE QUIMIOTERAPIA,TERAPIA,35816326,N,1,PEDIATRIA
180,INTERNACAO PSIQUIATRICA,INTERNACAO,34089341,S,3,CLINICA MEDICA
181,INTERNACAO PEDIATRICA,INTERNACAO,10543445,S,ESPECIAL,OFTALMOLOGIA
182,SESSAO DE QUIMIOTERAPIA,TERAPIA,33643859,S,2,PSIQUIATRIA
183,SESSAO DE QUIMIOTERAPIA,TERAPIA,16520560,S,3,OFTALMOLOGIA
184,AVALIACAO MULTIDISCIPLINAR,CONSULTA,34485422,S,1,GINECOLOGIA
185,SESSAO DE PSICOTERAPIA,TERAPIA,21787005,S,2,DERMATOLOGIA
186,SESSAO DE FONOAUDIOLOGIA,TERAPIA,43674876,S,2,GINECOLOGIA
187,INTERNACAO PEDIATRICA,INTERNACAO,32730795,S,4,CARDIOLOGIA
188,TOMOGRAFIA COMPUTADORIZADA,EXAME,36669833,S,1,NEUROLOGIA
189,CONSULTA DE URGENCIA,CONSULTA,46008758,S,4,ONCOLOGIA
190,SESSAO DE FONOAUDIOLOGIA,TERAPIA,35570188,S,1,PEDIATRIA
191,INTERNACAO CLINICA,INTERNACAO,47675411,S,ESPECIAL,PEDIATRIA
192,CONSULTA PRE-OPERATORIA,CONSULTA,30279639,N,1,ORTOPEDIA
193,CONSULTA ELETIVA,CONSULTA,30425561,N,1,CARDIOLOGIA
194,MAMOGRAFIA,EXAME,19104260,N,4,ONCOLOGIA
195,COLECISTECTOMIA,CIRURGIA,49415743,S,4,CARDIOLOGIA
196,INTERNACAO PSIQUIATRICA,INTERNACAO,37388193,S,1,ONCOLOGIA
197,COLONOSCOPIA,EXAME,39843033,S,3,CARDIOLOGIA
198,SESSAO DE FONOAUDIOLOGIA,TERAPIA,34070194,S,4,GINECOLOGIA
199,RAIO-X DE TORAX,EXAME,40515566,S,2,PSIQUIATRIA
200,CONSULTA ELETIVA,CONSULTA,32381420,S,2,PSIQUIATRIA
201,RAIO-X DE TORAX,EXAME,47192255,S,ESPECIAL,PEDIATRIA
202,ELETROCARDIOGRAMA,EXAME,19902193,S,3,ORTOPEDIA
203,MAMOGRAFIA,EXAME,26821118,S,1,CLINICA MEDICA
204,HEMOGRAMA COMPLETO,EXAME,34041232,S,ESPECIAL,ONCOLOGIA
205,CONSULTA DE RETORNO,CONSULTA,27808512,S,2,NEUROLOGIA
206,CIRURGIA CARDIACA,CIRURGIA,14265307,N,4,ONCOLOGIA
207,CIRURGIA DE CATARATA,CIRURGIA,17318490,N,ESPECIAL,PEDIATRIA
208,CIRURGIA CARDIACA,CIRURGIA,44993998,S,4,CLINICA MEDICA
209,CONSULTA PRE-OPERATORIA,CONSULTA,36952077,N,1,OFTALMOLOGIA
210,INTERNACAO CLINICA,INTERNACAO,15421757,S,ESPECIAL,ORTOPEDIA
211,CONSULTA DE RETORNO,CONSULTA,28456011,S,4,PSIQUIATRIA
212,APENDICECTOMIA,CIRURGIA,40448326,N,1,CARDIOLOGIA
213,CESARIANA,CIRURGIA,24429953,N,4,PEDIATRIA
214,INTERNACAO PEDIATRICA,INTERNACAO,40433796,N,4,CARDIOLOGIA
215,SESSAO DE PSICOTERAPIA,TERAPIA,30973101,S,3,ORTOPEDIA
216,INTERNACAO CLINICA,INTERNACAO,16121991,S,1,NEUROLOGIA
217,CONSULTA DE URGENCIA,CONSULTA,18731900,S,ESPECIAL,DERMATOLOGIA
218,APENDICECTOMIA,CIRURGIA,18202802,N,3,NEUROLOGIA
219,CONSULTA DE URGENCIA,CONSULTA,30968090,S,1,PSIQUIATRIA
220,ARTROPLASTIA DE QUADRIL,CIRURGIA,20383766,N,2,CARDIOLOGIA
221,SESSAO DE FONOAUDIOLOGIA,TERAPIA,34666604,S,3,PSIQUIATRIA
222,GLICEMIA DE JEJUM,EXAME,47645770,S,ESPECIAL,GINECOLOGIA
223,CONSULTA DE RETORNO,CONSULTA,28338865,S,3,ONCOLOGIA
224,CONSULTA DE RETORNO,CONSULTA,19613444,N,1,ORTOPEDIA
225,CONSULTA ELETIVA,CONSULTA,45600090,S,4,NEUROLOGIA
226,INTERNACAO PEDIATRICA,INTERNACAO,20563557,S,3,ONCOLOGIA
227,CIRURGIA DE CATARATA,CIRURGIA,15701370,S,2,ORTOPEDIA
228,CIRURGIA CARDIACA,CIRURGIA,15474843,S,4,NEUROLOGIA
229,INTERNACAO PSIQUIATRICA,INTERNACAO,39665083,N,3,PEDIATRIA
230,CIRURGIA CARDIACA,CIRURGIA,33164158,N,1,GINECOLOGIA
231,COLECISTECTOMIA,CIRURGIA,45361949,S,1,PEDIATRIA
232,INTERNACAO PSIQUIATRICA,INTERNACAO,13676355,S,2,GINECOLOGIA
233,RESSONANCIA MAGNETICA,EXAME,27147623,S,3,CARDIOLOGIA
234,CONSULTA PRE-OPERATORIA,CONSULTA,38900768,S,2,NEUROLOGIA
235,CESARIANA,CIRURGIA,25442468,S,1,NEUROLOGIA
236,CONSULTA PRE-OPERATORIA,CONSULTA,11257723,N,1,ONCOLOGIA
237,COLECISTECTOMIA,CIRURGIA,48480201,N,4,GINECOLOGIA
238,CONSULTA PRE-OPERATORIA,CONSULTA,11399659,S,2,PSIQUIATRIA
239,INTERNACAO PEDIATRICA,INTERNACAO,15914296,N,1,PEDIATRIA
240,INTERNACAO PSIQUIATRICA,INTERNACAO,36873732,S,4,GINECOLOGIA
241,SESSAO DE QUIMIOTERAPIA,TERAPIA,32351856,S,1,DERMATOLOGIA
242,AVALIACAO MULTIDISCIPLINAR,CONSULTA,44222303,S,3,ONCOLOGIA
243,TOMOGRAFIA COMPUTADORIZADA,EXAME,16899095,S,3,PEDIATRIA
244,ECOCARDIOGRAMA,EXAME,20258917,S,2,OFTALMOLOGIA
245,INTERNACAO PSIQUIATRICA,INTERNACAO,48887445,N,ESPECIAL,PSIQUIATRIA
246,SESSAO DE HEMODIALISE,TERAPIA,20130579,N,1,OFTALMOLOGIA
247,INTERNACAO PEDIATRICA,INTERNACAO,28433037,S,3,DERMATOLOGIA
248,CONSULTA DE URGENCIA,CONSULTA,40987013,N,1,CLINICA MEDICA
249,SESSAO DE HEMODIALISE,TERAPIA,15149330,S,ESPECIAL,PSIQUIATRIA
250,COLECISTECTOMIA,CIRURGIA,41052053,S,4,PSIQUIATRIA
251,ELETROCARDIOGRAMA,EXAME,41918923,S,1,OFTALMOLOGIA
252,CONSULTA DE URGENCIA,CONSULTA,15659232,S,1,PEDIATRIA
253,INTERNACAO OBSTETRICA,INTERNACAO,45169645,S,3,ONCOLOGIA
254,SESSAO DE PSICOTERAPIA,TERAPIA,37432049,S,ESPECIAL,CLINICA MEDICA
255,SESSAO DE FISIOTERAPIA,TERAPIA,32125172,S,ESPECIAL,NEUROLOGIA
256,SESSAO DE HEMODIALISE,TERAPIA,20091383,S,1,PSIQUIATRIA
257,ELETROCARDIOGRAMA,EXAME,30819299,N,2,PSIQUIATRIA
258,CONSULTA DE URGENCIA,CONSULTA,47508625,N,3,ORTOPEDIA
259,CIRURGIA CARDIACA,CIRURGIA,38414320,S,1,ONCOLOGIA
260,SESSAO DE QUIMIOTERAPIA,TERAPIA,24374226,S,4,PEDIATRIA
261,RESSONANCIA MAGNETICA,EXAME,20398194,S,3,CARDIOLOGIA
262,CIRURGIA DE CATARATA,CIRURGIA,45334939,S,3,PSIQUIATRIA
263,ECOCARDIOGRAMA,EXAME,35281242,S,2,ORTOPEDIA
264,ARTROPLASTIA DE QUADRIL,CIRURGIA,39371765,S,4,ONCOLOGIA
265,COLONOSCOPIA,EXAME,29121189,N,2,DERMATOLOGIA
266,ULTRASSONOGRAFIA,EXAME,41475104,S,3,PSIQUIATRIA
267,INTERNACAO OBSTETRICA,INTERNACAO,28909380,N,ESPECIAL,DERMATOLOGIA
268,INTERNACAO EM UTI,INTERNACAO,23401487,S,3,CLINICA MEDICA
269,INTERNACAO PEDIATRICA,INTERNACAO,47214599,S,ESPECIAL,CARDIOLOGIA
270,SESSAO DE FISIOTERAPIA,TERAPIA,20758378,S,4,DERMATOLOGIA
271,GLICEMIA DE JEJUM,EXAME,16154793,S,4,ONCOLOGIA
272,CONSULTA PRE-OPERATORIA,CONSULTA,13574009,N,ESPECIAL,ONCOLOGIA
273,GLICEMIA DE JEJUM,EXAME,15476448,S,2,CLINICA MEDICA
274,SESSAO DE FISIOTERAPIA,TERAPIA,32500954,S,2,CLINICA MEDICA
275,SESSAO DE PSICOTERAPIA,TERAPIA,19314219,N,4,PSIQUIATRIA
276,CONSULTA ELETIVA,CONSULTA,11275329,S,2,ORTOPEDIA
277,CESARIANA,CIRURGIA,45418146,N,1,GINECOLOGIA
278,ULTRASSONOGRAFIA,EXAME,18177104,S,2,NEUROLOGIA
279,COLECISTECTOMIA,CIRURGIA,14214916,S,4,PSIQUIATRIA
280,CIRURGIA CARDIACA,CIRURGIA,44586279,S,2,GINECOLOGIA
281,INTERNACAO CLINICA,INTERNACAO,33677083,S,ESPECIAL,NEUROLOGIA
282,RAIO-X DE TORAX,EXAME,45130453,S,1,DERMATOLOGIA
283,CIRURGIA DE CATARATA,CIRURGIA,44065975,S,4,OFTALMOLOGIA
284,CONSULTA PRE-OPERATORIA,CONSULTA,35051899,S,1,ONCOLOGIA
285,CONSULTA DE URGENCIA,CONSULTA,26181686,S,ESPECIAL,ONCOLOGIA
286,HEMOGRAMA COMPLETO,EXAME,33642388,S,2,OFTALMOLOGIA
287,INTERNACAO EM UTI,INTERNACAO,19049803,S,4,CLINICA MEDICA
288,SESSAO DE QUIMIOTERAPIA,TERAPIA,12939789,S,1,ONCOLOGIA
289,SESSAO DE FONOAUDIOLOGIA,TERAPIA,36724363,N,3,CLINICA MEDICA
290,ULTRASSONOGRAFIA,EXAME,33956131,S,3,GINECOLOGIA
291,CONSULTA DE URGENCIA,CONSULTA,39323310,N,4,NEUROLOGIA
292,SESSAO DE QUIMIOTERAPIA,TERAPIA,43299634,N,3,DERMATOLOGIA
293,SESSAO DE FISIOTERAPIA,TERAPIA,38487690,S,4,PSIQUIATRIA
294,MAMOGRAFIA,EXAME,29714330,S,1,CARDIOLOGIA
295,SESSAO DE HEMODIALISE,TERAPIA,30568588,N,ESPECIAL,NEUROLOGIA
296,COLONOSCOPIA,EXAME,33591918,N,1,ONCOLOGIA
297,COLECISTECTOMIA,CIRURGIA,28425098,S,1,NEUROLOGIA
298,SESSAO DE FONOAUDIOLOGIA,TERAPIA,20736527,S,2,PSIQUIATRIA
299,INTERNACAO CLINICA,INTERNACAO,18471153,S,2,ONCOLOGIA
300,SESSAO DE PSICOTERAPIA,TERAPIA,48067143,S,ESPECIAL,ORTOPEDIA
301,INTERNACAO PEDIATRICA,INTERNACAO,34965395,N,1,PSIQUIATRIA
302,MAMOGRAFIA,EXAME,34625594,N,3,GINECOLOGIA
303,RAIO-X DE TORAX,EXAME,11739014,S,4,DERMATOLOGIA
304,INTERNACAO PSIQUIATRICA,INTERNACAO,17902806,S,3,OFTALMOLOGIA
305,ECOCARDIOGRAMA,EXAME,29164739,N,2,CARDIOLOGIA
306,RAIO-X DE TORAX,EXAME,40336071,S,4,CARDIOLOGIA
307,SESSAO DE HEMODIALISE,TERAPIA,14357987,S,3,ORTOPEDIA
308,ELETROCARDIOGRAMA,EXAME,44142020,S,1,PEDIATRIA
309,TOMOGRAFIA COMPUTADORIZADA,EXAME,43153251,S,3,DERMATOLOGIA
310,APENDICECTOMIA,CIRURGIA,41367074,S,ESPECIAL,CARDIOLOGIA
311,CONSULTA DE URGENCIA,CONSULTA,36720063,N,ESPECIAL,NEUROLOGIA
312,INTERNACAO PSIQUIATRICA,INTERNACAO,14949326,S,3,CARDIOLOGIA
313,INTERNACAO OBSTETRICA,INTERNACAO,44719442,S,2,DERMATOLOGIA
314,ARTROPLASTIA DE QUADRIL,CIRURGIA,18659255,N,ESPECIAL,CLINICA MEDICA
315,AVALIACAO MULTIDISCIPLINAR,CONSULTA,20268694,S,2,ORTOPEDIA
