id_prestador,cod,rede,xpto,tipo,cep,lat_long
67,350798476551,REDE 3,PRESTADOR 0067,CONSULTORIO,13803,"-23.00,-47.01"
68,115124317610,REDE 4,PRESTADOR 0068,CONSULTORIO,13326,"-23.07,-47.27"
69,137606824112,REDE 1,PRESTADOR 0069,LABORATORIO,13663,"-23.05,-46.82"
70,279468350490,REDE 5,PRESTADOR 0070,CLINICA,13565,"-23.02,-46.96"
71,520922706541,REDE 2,PRESTADOR 0071,CONSULTORIO,13644,"-23.01,-46.92"
72,445647700243,REDE 1,PRESTADOR 0072,PRONTO-SOCORRO,13904,"-23.00,-46.94"
73,15965004278,REDE 2,PRESTADOR 0073,CLINICA,13285,"-22.72,-46.81"
74,641628901762,REDE 1,PRESTADOR 0074,PRONTO-SOCORRO,13191,"-22.92,-47.18"
75,298252241697,REDE 4,PRESTADOR 0075,PRONTO-SOCORRO,13989,"-22.78,-46.94"
76,442122279285,REDE 5,PRESTADOR 0076,HOSPITAL,13356,"-22.92,-47.03"
77,904094197579,REDE 3,PRESTADOR 0077,PRONTO-SOCORRO,13604,"-23.06,-47.22"
78,272499217021,REDE 3,PRESTADOR 0078,HOSPITAL,13187,"-22.91,-47.22"
79,471229937700,REDE 5,PRESTADOR 0079,CLINICA,13588,"-22.91,-47.19"
80,601139978315,REDE 2,PRESTADOR 0080,PRONTO-SOCORRO,13170,"-22.86,-47.22"
81,934769079507,REDE 4,PRESTADOR 0081,PRONTO-SOCORRO,13054,"-22.67,-46.73"
82,158110267549,REDE 2,PRESTADOR 0082,CONSULTORIO,13986,"-22.82,-46.91"
83,763376495451,REDE 4,PRESTADOR 0083,CONSULTORIO,13727,"-22.68,-47.01"
84,628830358261,REDE 1,PRESTADOR 0084,CLINICA,13299,"-23.08,-47.17"
85,195923423266,REDE 4,PRESTADOR 0085,PRONTO-SOCORRO,13760,"-22.71,-47.00"
86,132452979272,REDE 5,PRESTADOR 0086,HOSPITAL,13274,"-22.71,-46.81"
87,604281146167,REDE 1,PRESTADOR 0087,CONSULTORIO,13559,"-22.99,-47.04"
88,923694114133,REDE 2,PRESTADOR 0088,LABORATORIO,13895,"-22.60,-47.03"
89,956389931819,REDE 1,PRESTADOR 0089,CONSULTORIO,13886,"-22.60,-46.83"
90,238650942257,REDE 5,PRESTADOR 0090,LABORATORIO,13881,"-22.74,-46.92"
91,685022751100,REDE 2,PRESTADOR 0091,CLINICA,13833,"-23.00,-47.26"
92,595622293261,REDE 3,PRESTADOR 0092,PRONTO-SOCORRO,13551,"-23.02,-46.71"
93,329084436367,REDE 5,PRESTADOR 0093,LABORATORIO,13975,"-22.67,-46.71"
94,906270765905,REDE 1,PRESTADOR 0094,CLINICA,13985,"-22.72,-47.05"
95,960378867924,REDE 2,PRESTADOR 0095,CLINICA,13255,"-23.03,-47.11"
96,844286894927,REDE 4,PRESTADOR 0096,CONSULTORIO,13145,"-22.81,-47.14"
97,424095943637,REDE 4,PRESTADOR 0097,HOSPITAL,13648,"-22.70,-46.84"
98,574370946672,REDE 3,PRESTADOR 0098,LABORATORIO,13465,"-22.62,-47.10"
99,963493361511,REDE 1,PRESTADOR 0099,CONSULTORIO,13650,"-22.77,-47.09"
100,882150364301,REDE 5,PRESTADOR 0100,CONSULTORIO,13223,"-22.62,-46.81"
101,304182560647,REDE 3,PRESTADOR 0101,LABORATORIO,13345,"-22.83,-47.22"
102,546237071797,REDE 3,PRESTADOR 0102,HOSPITAL,13047,"-23.05,-46.83"
103,29153757830,REDE 1,PRESTADOR 0103,CLINICA,13451,"-22.87,-46.70"
104,230880716109,REDE 2,PRESTADOR 0104,LABORATORIO,13162,"-22.66,-46.77"
105,727660430611,REDE 3,PRESTADOR 0105,LABORATORIO,13084,"-22.91,-46.76"
106,66545499672,REDE 4,PRESTADOR 0106,LABORATORIO,13743,"-22.75,-47.16"
107,111599535427,REDE 1,PRESTADOR 0107,HOSPITAL,13218,"-22.86,-47.22"
108,577907165425,REDE 4,PRESTADOR 0108,HOSPITAL,13008,"-22.75,-46.81"
109,959136898114,REDE 4,PRESTADOR 0109,CLINICA,13489,"-23.06,-47.07"
110,897901867778,REDE 1,PRESTADOR 0110,HOSPITAL,13320,"-22.92,-47.12"
111,862047299002,REDE 2,PRESTADOR 0111,CLINICA,13070,"-22.83,-47.29"
112,193180441986,REDE 4,PRESTADOR 0112,LABORATORIO,13739,"-22.99,-46.85"
113,464922481252,REDE 5,PRESTADOR 0113,CONSULTORIO,13880,"-22.99,-46.76"
114,835235072673,REDE 1,PRESTADOR 0114,PRONTO-SOCORRO,13747,"-22.91,-46.72"
115,878934176751,REDE 2,PRESTADOR 0115,CLINICA,13283,"-22.78,-47.15"
116,669711267586,REDE 5,PRESTADOR 0116,LABORATORIO,13797,"-22.63,-47.28"
117,735192643768,REDE 3,PRESTADOR 0117,CLINICA,13530,"-22.80,-47.19"
118,333805105007,REDE 1,PRESTADOR 0118,CLINICA,13506,"-22.91,-47.16"
119,665575571743,REDE 1,PRESTADOR 0119,PRONTO-SOCORRO,13910,"-22.61,-46.71"
120,361903525746,REDE 2,PRESTADOR 0120,CONSULTORIO,13881,"-22.68,-47.05"
121,759670891611,REDE 2,PRESTADOR 0121,CONSULTORIO,13977,"-22.61,-47.26"
122,85537151055,REDE 1,PRESTADOR 0122,LABORATORIO,13220,"-23.08,-47.26"
123,447181671620,REDE 5,PRESTADOR 0123,LABORATORIO,13643,"-22.74,-46.84"
124,780618387758,REDE 4,PRESTADOR 0124,HOSPITAL,13655,"-22.83,-46.93"
125,101386028091,REDE 3,PRESTADOR 0125,HOSPITAL,13523,"-22.64,-46.72"
126,599077859249,REDE 3,PRESTADOR 0126,CONSULTORIO,13600,"-22.78,-46.80"
127,717299748434,REDE 1,PRESTADOR 0127,LABORATORIO,13715,"-22.88,-46.73"
128,71154481938,REDE 2,PRESTADOR 0128,HOSPITAL,13946,"-22.88,-47.03"
129,72744457425,REDE 3,PRESTADOR 0129,CLINICA,13122,"-23.09,-47.22"
130,186142409609,REDE 4,PRESTADOR 0130,LABORATORIO,13535,"-22.84,-46.81"
131,191502083673,REDE 3,PRESTADOR 0131,CLINICA,13767,"-22.71,-47.14"
132,142656141300,REDE 1,PRESTADOR 0132,LABORATORIO,13826,"-22.89,-46.99"
133,792813408006,REDE 5,PRESTADOR 0133,HOSPITAL,13508,"-22.87,-47.08"
134,952743646451,REDE 5,PRESTADOR 0134,CLINICA,13376,"-23.02,-46.84"
135,640906078844,REDE 1,PRESTADOR 0135,CLINICA,13758,"-22.85,-47.27"
136,26591151557,REDE 2,PRESTADOR 0136,HOSPITAL,13483,"-22.92,-46.75"
137,954722475921,REDE 1,PRESTADOR 0137,PRONTO-SOCORRO,13822,"-22.64,-46.86"
138,256614313333,REDE 3,PRESTADOR 0138,CLINICA,13426,"-22.64,-47.11"
139,95152008721,REDE 5,PRESTADOR 0139,LABORATORIO,13122,"-22.85,-46.76"
140,255583414008,REDE 5,PRESTADOR 0140,HOSPITAL,13976,"-22.90,-46.77"
141,322957225436,REDE 3,PRESTADOR 0141,LABORATORIO,13088,"-22.82,-47.30"
142,328689455961,REDE 5,PRESTADOR 0142,LABORATORIO,13757,"-22.79,-47.02"
143,863721873297,REDE 2,PRESTADOR 0143,PRONTO-SOCORRO,13778,"-22.70,-47.21"
144,460681215698,REDE 1,PRESTADOR 0144,CLINICA,13554,"-22.93,-46.80"
145,22357473974,REDE 3,PRESTADOR 0145,HOSPITAL,13777,"-22.77,-46.79"
146,348130813913,REDE 1,PRESTADOR 0146,CLINICA,13542,"-22.61,-47.05"
147,78552767851,REDE 2,PRESTADOR 0147,LABORATORIO,13095,"-23.08,-47.16"
148,584862063406,REDE 4,PRESTADOR 0148,LABORATORIO,13469,"-22.61,-47.25"
149,564461281286,REDE 2,PRESTADOR 0149,CONSULTORIO,13076,"-22.80,-47.26"
150,268259425584,REDE 3,PRESTADOR 0150,LABORATORIO,13871,"-22.94,-46.82"
151,923542660306,REDE 3,PRESTADOR 0151,LABORATORIO,13463,"-22.96,-47.26"
152,156899532166,REDE 5,PRESTADOR 0152,HOSPITAL,13159,"-23.05,-47.03"
153,458025361497,REDE 1,PRESTADOR 0153,PRONTO-SOCORRO,13366,"-22.62,-47.18"
154,518130312484,REDE 3,PRESTADOR 0154,HOSPITAL,13092,"-23.02,-46.89"
155,786643417060,REDE 5,PRESTADOR 0155,HOSPITAL,13220,"-22.68,-47.10"
156,792075804310,REDE 2,PRESTADOR 0156,LABORATORIO,13405,"-22.84,-46.89"
157,908765572732,REDE 2,PRESTADOR 0157,HOSPITAL,13974,"-22.90,-47.03"
158,614508393916,REDE 2,PRESTADOR 0158,HOSPITAL,13473,"-23.05,-46.82"
159,23406539667,REDE 1,PRESTADOR 0159,CLINICA,13133,"-23.00,-47.06"
160,704437307398,REDE 1,PRESTADOR 0160,PRONTO-SOCORRO,13600,"-22.97,-46.81"
161,225025270085,REDE 4,PRESTADOR 0161,CLINICA,13094,"-22.65,-46.80"
162,144567982129,REDE 1,PRESTADOR 0162,CONSULTORIO,13051,"-23.02,-46.96"
163,808098061664,REDE 4,PRESTADOR 0163,CONSULTORIO,13030,"-22.91,-47.04"
164,243448408697,REDE 2,PRESTADOR 0164,LABORATORIO,13286,"-22.88,-47.21"
165,691242400417,REDE 5,PRESTADOR 0165,CLINICA,13662,"-22.95,-47.05"
166,536351199913,REDE 1,PRESTADOR 0166,HOSPITAL,13286,"-22.91,-47.05"
167,983422780469,REDE 5,PRESTADOR 0167,CLINICA,13645,"-22.60,-46.97"
168,870636275942,REDE 3,PRESTADOR 0168,CONSULTORIO,13557,"-22.71,-47.09"
169,562185266920,REDE 3,PRESTADOR 0169,CONSULTORIO,13276,"-23.01,-47.11"
170,41005455641,REDE 3,PRESTADOR 0170,HOSPITAL,13828,"-22.60,-46.98"
171,653243689144,REDE 2,PRESTADOR 0171,CLINICA,13102,"-22.98,-47.16"
172,905645376775,REDE 1,PRESTADOR 0172,CLINICA,13589,"-22.68,-46.82"
173,202608757154,REDE 2,PRESTADOR 0173,CLINICA,13606,"-22.94,-46.86"
174,42605512667,REDE 3,PRESTADOR 0174,PRONTO-SOCORRO,13577,"-23.03,-46.73"
175,979848288067,REDE 4,PRESTADOR 0175,PRONTO-SOCORRO,13316,"-23.01,-47.28"
176,263644310111,REDE 5,PRESTADOR 0176,CLINICA,13020,"-22.84,-47.30"
177,688252199568,REDE 2,PRESTADOR 0177,CLINICA,13348,"-22.74,-46.75"
178,967108912246,REDE 3,PRESTADOR 0178,HOSPITAL,13022,"-23.03,-46.88"
179,861011918168,REDE 1,PRESTADOR 0179,PRONTO-SOCORRO,13881,"-22.92,-47.26"
180,446635564628,REDE 5,PRESTADOR 0180,HOSPITAL,13344,"-22.95,-47.22"
181,813835358370,REDE 4,PRESTADOR 0181,CONSULTORIO,13664,"-22.94,-46.88"
182,772622885564,REDE 5,PRESTADOR 0182,LABORATORIO,13228,"-22.77,-46.81"
183,346632596465,REDE 3,PRESTADOR 0183,CLINICA,13181,"-22.74,-46.73"
184,641139852789,REDE 4,PRESTADOR 0184,PRONTO-SOCORRO,13033,"-23.01,-47.11"
185,253144030638,REDE 5,PRESTADOR 0185,HOSPITAL,13959,"-22.85,-47.10"
186,268032214729,REDE 3,PRESTADOR 0186,LABORATORIO,13171,"-22.78,-46.72"
187,790918091152,REDE 3,PRESTADOR 0187,CONSULTORIO,13011,"-22.97,-47.15"
188,392543265708,REDE 3,PRESTADOR 0188,HOSPITAL,13737,"-23.10,-47.07"
189,472707927107,REDE 2,PRESTADOR 0189,CONSULTORIO,13504,"-22.66,-47.09"
190,118986287939,REDE 4,PRESTADOR 0190,PRONTO-SOCORRO,13666,"-22.72,-47.16"
191,89247676042,REDE 1,PRESTADOR 0191,LABORATORIO,13020,"-22.94,-46.73"
192,383980843051,REDE 2,PRESTADOR 0192,CONSULTORIO,13164,"-22.73,-46.97"
193,379767069027,REDE 5,PRESTADOR 0193,PRONTO-SOCORRO,13914,"-22.86,-47.28"
194,731307297093,REDE 2,PRESTADOR 0194,PRONTO-SOCORRO,13911,"-22.88,-47.27"
195,234760339804,REDE 2,PRESTADOR 0195,CONSULTORIO,13713,"-22.82,-46.74"
196,300082629893,REDE 3,PRESTADOR 0196,LABORATORIO,13243,"-23.05,-47.06"
197,935778751674,REDE 4,PRESTADOR 0197,CLINICA,13055,"-22.92,-47.04"
198,913208212385,REDE 5,PRESTADOR 0198,CONSULTORIO,13204,"-23.05,-47.18"
199,330568587905,REDE 1,PRESTADOR 0199,CONSULTORIO,13864,"-23.04,-46.83"
200,548893603021,REDE 3,PRESTADOR 0200,HOSPITAL,13657,"-22.83,-47.19"
201,430414989865,REDE 3,PRESTADOR 0201,CLINICA,13456,"-23.08,-47.04"
202,255944433737,REDE 3,PRESTADOR 0202,PRONTO-SOCORRO,13063,"-23.02,-46.88"
203,100609647826,REDE 3,PRESTADOR 0203,PRONTO-SOCORRO,13423,"-22.61,-46.95"
204,76802211551,REDE 4,PRESTADOR 0204,PRONTO-SOCORRO,13428,"-22.62,-46.89"
205,533712684551,REDE 5,PRESTADOR 0205,CLINICA,13487,"-22.95,-47.06"
206,795351691457,REDE 1,PRESTADOR 0206,PRONTO-SOCORRO,13584,"-22.65,-46.82"
207,171577842715,REDE 1,PRESTADOR 0207,CONSULTORIO,13177,"-22.63,-47.20"
208,895673324276,REDE 2,PRESTADOR 0208,CLINICA,13043,"-22.89,-46.71"
209,230913331850,REDE 2,PRESTADOR 0209,PRONTO-SOCORRO,13264,"-22.94,-46.86"
210,86481958693,REDE 1,PRESTADOR 0210,CONSULTORIO,13569,"-22.90,-47.10"
211,582416923870,REDE 4,PRESTADOR 0211,HOSPITAL,13805,"-22.75,-46.95"
212,472918815025,REDE 1,PRESTADOR 0212,CONSULTORIO,13153,"-23.03,-46.95"
213,121409948354,REDE 1,PRESTADOR 0213,PRONTO-SOCORRO,13798,"-23.05,-47.13"
214,978668169859,REDE 3,PRESTADOR 0214,CONSULTORIO,13270,"-22.91,-47.01"
215,532306515359,REDE 1,PRESTADOR 0215,CLINICA,13282,"-22.90,-46.93"
216,773133280377,REDE 4,PRESTADOR 0216,HOSPITAL,13405,"-22.66,-47.10"
217,62560002879,REDE 4,PRESTADOR 0217,LABORATORIO,13918,"-22.91,-47.10"
218,344121191429,REDE 3,PRESTADOR 0218,LABORATORIO,13863,"-22.85,-46.88"
219,262840000370,REDE 2,PRESTADOR 0219,LABORATORIO,13761,"-22.88,-46.80"
220,810021067068,REDE 4,PRESTADOR 0220,PRONTO-SOCORRO,13661,"-23.06,-47.03"
221,915866296190,REDE 4,PRESTADOR 0221,CONSULTORIO,13777,"-22.84,-47.08"
222,572882117950,REDE 2,PRESTADOR 0222,HOSPITAL,13318,"-22.75,-47.06"
223,945360195752,REDE 5,PRESTADOR 0223,PRONTO-SOCORRO,13029,"-23.01,-46.77"
224,929985116278,REDE 1,PRESTADOR 0224,CLINICA,13033,"-22.87,-46.75"
225,227774744552,REDE 3,PRESTADOR 0225,LABORATORIO,13843,"-22.87,-47.06"
226,147108556987,REDE 1,PRESTADOR 0226,CLINICA,13381,"-22.86,-47.03"
227,967608143297,REDE 4,PRESTADOR 0227,PRONTO-SOCORRO,13564,"-22.93,-47.20"
228,297309655092,REDE 1,PRESTADOR 0228,LABORATORIO,13028,"-22.91,-47.20"
229,867156321539,REDE 2,PRESTADOR 0229,CLINICA,13662,"-22.99,-47.18"
230,459475145082,REDE 5,PRESTADOR 0230,HOSPITAL,13885,"-22.71,-46.84"
231,529729259360,REDE 2,PRESTADOR 0231,CLINICA,13615,"-22.70,-47.17"
232,897376080060,REDE 3,PRESTADOR 0232,LABORATORIO,13433,"-22.65,-46.79"
233,286849288425,REDE 2,PRESTADOR 0233,CONSULTORIO,13309,"-22.76,-46.81"
234,651655884287,REDE 1,PRESTADOR 0234,HOSPITAL,13523,"-22.60,-46.72"
235,421626995977,REDE 5,PRESTADOR 0235,PRONTO-SOCORRO,13623,"-22.96,-46.89"
236,80788527518,REDE 3,PRESTADOR 0236,LABORATORIO,13655,"-22.94,-47.13"
237,794502060113,REDE 3,PRESTADOR 0237,CLINICA,13153,"-22.84,-47.16"
238,895007108332,REDE 5,PRESTADOR 0238,CONSULTORIO,13676,"-22.94,-47.22"
239,727368867974,REDE 4,PRESTADOR 0239,LABORATORIO,13265,"-22.65,-47.06"
240,51818945944,REDE 5,PRESTADOR 0240,PRONTO-SOCORRO,13835,"-23.01,-46.86"
241,762574319437,REDE 5,PRESTADOR 0241,CONSULTORIO,13928,"-22.63,-47.08"
242,939002262884,REDE 2,PRESTADOR 0242,PRONTO-SOCORRO,13185,"-22.95,-47.02"
243,296650063966,REDE 5,PRESTADOR 0243,CLINICA,13969,"-22.76,-47.10"
244,250901708398,REDE 3,PRESTADOR 0244,CLINICA,13762,"-22.66,-47.05"
245,374586216924,REDE 3,PRESTADOR 0245,LABORATORIO,13599,"-22.95,-46.79"
246,67855514041,REDE 5,PRESTADOR 0246,PRONTO-SOCORRO,13966,"-22.79,-47.02"
247,560591373166,REDE 1,PRESTADOR 0247,CONSULTORIO,13542,"-22.95,-47.27"
248,176877689129,REDE 2,PRESTADOR 0248,CLINICA,13350,"-22.90,-46.96"
249,166584077006,REDE 3,PRESTADOR 0249,CLINICA,13797,"-23.06,-47.10"
250,207511116465,REDE 3,PRESTADOR 0250,HOSPITAL,13004,"-22.87,-47.17"
251,198005932484,REDE 5,PRESTADOR 0251,CLINICA,13501,"-22.71,-46.83"
252,684865659834,REDE 4,PRESTADOR 0252,CONSULTORIO,13413,"-22.89,-47.01"
253,48674759483,REDE 5,PRESTADOR 0253,CLINICA,13748,"-22.91,-47.29"
254,840312582992,REDE 5,PRESTADOR 0254,CLINICA,13018,"-22.76,-46.92"
255,255881823047,REDE 3,PRESTADOR 0255,LABORATORIO,13132,"-23.05,-47.00"
256,191703380754,REDE 1,PRESTADOR 0256,HOSPITAL,13305,"-22.63,-47.03"
257,665069650703,REDE 5,PRESTADOR 0257,LABORATORIO,13444,"-22.66,-46.70"
258,550742325840,REDE 3,PRESTADOR 0258,CLINICA,13168,"-22.63,-46.75"
259,28912423124,REDE 2,PRESTADOR 0259,CLINICA,13744,"-22.61,-47.17"
260,654339211168,REDE 5,PRESTADOR 0260,CLINICA,13126,"-22.92,-46.91"
261,422477335111,REDE 3,PRESTADOR 0261,PRONTO-SOCORRO,13638,"-23.08,-46.70"
262,128807256141,REDE 1,PRESTADOR 0262,HOSPITAL,13706,"-23.04,-47.03"
263,611826258207,REDE 3,PRESTADOR 0263,CONSULTORIO,13718,"-23.02,-46.88"
264,21297101210,REDE 3,PRESTADOR 0264,CONSULTORIO,13677,"-23.05,-46.99"
265,678394826945,REDE 2,PRESTADOR 0265,CONSULTORIO,13850,"-22.65,-46.99"
266,141502011423,REDE 3,PRESTADOR 0266,HOSPITAL,13803,"-23.05,-47.18"
267,865556408971,REDE 3,PRESTADOR 0267,PRONTO-SOCORRO,13206,"-22.92,-47.05"
268,53638472329,REDE 5,PRESTADOR 0268,CONSULTORIO,13932,"-23.00,-46.74"
269,269117969489,REDE 1,PRESTADOR 0269,HOSPITAL,13687,"-23.06,-47.23"
270,746905374966,REDE 4,PRESTADOR 0270,CLINICA,13972,"-23.05,-46.99"
271,807676631820,REDE 1,PRESTADOR 0271,LABORATORIO,13659,"-22.98,-46.71"
272,299034214422,REDE 4,PRESTADOR 0272,HOSPITAL,13102,"-22.69,-46.78"
273,331487960146,REDE 3,PRESTADOR 0273,LABORATORIO,13436,"-22.73,-47.24"
274,988214037573,REDE 1,PRESTADOR 0274,HOSPITAL,13872,"-23.03,-46.91"
275,402253611454,REDE 4,PRESTADOR 0275,PRONTO-SOCORRO,13274,"-22.66,-47.24"
276,387162399720,REDE 2,PRESTADOR 0276,HOSPITAL,13410,"-22.90,-47.03"
277,434496135018,REDE 4,PRESTADOR 0277,CONSULTORIO,13664,"-22.66,-47.20"
278,775073311572,REDE 1,PRESTADOR 0278,CLINICA,13106,"-22.89,-46.95"
279,636215958920,REDE 4,PRESTADOR 0279,CLINICA,13625,"-22.91,-47.08"
280,955016569887,REDE 2,PRESTADOR 0280,CONSULTORIO,13942,"-22.86,-46.77"
281,59137380299,REDE 1,PRESTADOR 0281,LABORATORIO,13670,"-22.94,-46.88"
282,588437300202,REDE 5,PRESTADOR 0282,PRONTO-SOCORRO,13229,"-22.61,-46.90"
283,578388673264,REDE 5,PRESTADOR 0283,PRONTO-SOCORRO,13097,"-22.88,-46.86"
284,390026994241,REDE 4,PRESTADOR 0284,CLINICA,13859,"-22.69,-46.76"
285,68467020497,REDE 1,PRESTADOR 0285,CLINICA,13517,"-22.68,-46.79"
286,194122738154,REDE 1,PRESTADOR 0286,CONSULTORIO,13328,"-22.98,-46.72"
287,564267035848,REDE 2,PRESTADOR 0287,PRONTO-SOCORRO,13658,"-22.91,-46.81"
288,512849748464,REDE 4,PRESTADOR 0288,PRONTO-SOCORRO,13458,"-23.06,-47.00"
289,140206492808,REDE 4,PRESTADOR 0289,HOSPITAL,13105,"-22.90,-47.28"
290,12358361363,REDE 1,PRESTADOR 0290,PRONTO-SOCORRO,13986,"-22.79,-47.12"
291,626363617302,REDE 2,PRESTADOR 0291,CONSULTORIO,13973,"-22.93,-46.80"
